"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"48310  Mussalo (Kotka)",2.3,2.3,2.3,2.2,2.2
"48350  Karhuvuori (Kotka)",1.6,1.5,1.5,1.6,1.6
"48400  Sutela (Kotka)",2.0,2.0,2.0,2.0,2.0
"48410  Kaukola (Kotka)",2.3,2.3,2.3,2.2,2.2
"48600  Karhula (Kotka)",1.6,1.6,1.6,1.6,1.6
"48700  Kyminlinna (Kotka)",1.8,1.8,1.8,1.8,1.7
"48710  Koivula (Kotka)",2.5,2.4,2.4,2.3,2.3
"48720  Kymi (Kotka)",2.2,2.2,2.2,2.2,2.2
"48750  Nikeli (Kotka)",2.0,1.9,1.9,1.9,1.9
"48770  Ristinkallio (Kotka)",2.0,1.9,2.0,1.9,2.0
"48800  Otsola-Mäntykangas (Kotka)",2.3,2.3,2.3,2.2,2.2
"48810  Rantahaka (Kotka)",2.3,2.3,2.3,2.2,2.2
"48900  Sunila (Kotka)",1.8,1.8,1.8,1.8,1.8
"48910  Suulisniemi (Kotka)",1.9,1.9,1.9,1.9,1.9
"48930  Tiutinen (Kotka)",2.2,2.2,2.2,2.1,2.0
"49200  Heinlahti (Pyhtää)",2.5,2.5,2.5,2.6,2.5
"49210  Huutjärvi (Pyhtää)",2.1,2.1,2.0,2.1,2.0
"49220  Siltakylä (Pyhtää)",2.1,2.1,2.1,2.1,2.1
"49240  Purolanlahti (Pyhtää)",2.1,2.0,2.0,2.0,1.9
"49270  Pyhtää kk (Pyhtää)",1.9,1.9,1.9,1.9,1.9
"49290  Vastila (Pyhtää)",2.1,2.1,2.1,2.0,2.0
"49300  Tavastila (Kotka)",2.3,2.2,2.2,2.1,2.2
"49340  Juurikorpi (Kotka)",2.1,2.0,2.0,2.1,1.9
"49400  Hamina Keskus (Hamina)",1.8,1.8,1.8,1.8,1.8
"49410  Poitsila (Hamina)",1.9,1.9,1.9,1.9,1.9
"49420  Uusi-Summa (Hamina)",2.1,2.0,2.0,2.0,2.0
"49460  Hillo (Hamina)",1.6,1.6,1.6,1.6,1.6
"49480  Vanha-Summa (Hamina)",2.2,2.2,2.1,2.1,2.1
"49490  Neuvoton (Hamina)",2.1,2.1,2.1,2.0,2.0
"49510  Husula (Hamina)",1.8,1.8,1.8,1.8,1.8
"49520  Reitkalli (Hamina)",2.1,2.1,2.0,2.0,2.0
"49540  Metsäkylä (Hamina)",2.3,2.2,2.2,2.2,2.1
"49570  Kannusjärvi (Hamina)",2.2,2.1,2.2,2.1,2.1
"49610  Sivatti (Hamina)",2.6,2.5,2.7,2.7,2.4
"49630  Vehkajoki (Hamina)",1.8,1.8,1.8,1.9,1.8
"49640  Paijärvi (Hamina)",2.1,2.1,2.1,2.1,2.0
"49660  Pyhältö (Hamina)",2.1,2.1,2.1,2.1,2.0
"49700  Miehikkälä Kirkonkylä (Miehikkälä)",1.9,1.8,1.8,1.8,1.8
"49720  Hurttala (Miehikkälä)",...,...,...,...,...
"49730  Muurikkala (Miehikkälä)",1.9,1.9,1.9,1.8,1.8
"49750  Kalliokoski (Miehikkälä)",1.9,1.9,1.8,1.9,1.9
"49760  Suur-Miehikkälä (Miehikkälä)",1.9,1.8,1.9,1.9,1.9
"49770  Salo-Miehikkälä (Miehikkälä)",2.0,2.0,2.0,1.9,2.0
"49780  Onkamaa (Hamina)",2.0,1.9,1.9,2.0,2.0
"49840  Mäntlahti (Hamina)",1.7,1.6,1.7,1.7,1.6
"49860  Klamila (Virolahti)",2.0,2.0,2.0,2.0,2.0
"49900  Virolahti Keskus (Virolahti)",1.9,1.9,1.9,1.8,1.8
"49930  Vaalimaa (Virolahti)",2.2,2.2,2.1,2.1,2.0
"49960  Ala-Pihlaja (Virolahti)",1.9,1.9,1.8,1.8,1.8
"49980  Ravijoki (Virolahti)",2.1,2.0,2.0,2.0,2.0
"50100  Mikkeli Keskus (Mikkeli)",1.5,1.5,1.5,1.5,1.5
"50120  Siekkilä (Mikkeli)",1.7,1.7,1.6,1.6,1.6
"50130  Nuijamies (Mikkeli)",1.8,1.8,1.8,1.8,1.8
"50150  Tusku (Mikkeli)",2.1,2.1,2.1,2.1,2.0
"50160  Kattilansilta (Mikkeli)",1.6,1.6,1.5,1.5,1.6
"50170  Peitsari (Mikkeli)",1.9,1.9,1.9,1.9,1.9
"50180  Visulahti (Mikkeli)",2.6,2.6,2.6,2.6,2.5
"50190  Tuppurala (Mikkeli)",1.8,1.7,1.8,1.8,1.8
"50200  Kovala (Mikkeli)",2.4,2.4,2.4,2.4,2.4
"50300  Rämälä (Mikkeli)",2.4,2.4,2.4,2.2,2.2
"50350  Norola (Mikkeli)",2.3,2.3,2.3,2.2,2.2
"50500  Tuukkala-Kaituenmäki (Mikkeli)",2.0,1.9,1.9,1.9,1.9
"50520  Moision Sairaala-alue (Mikkeli)",1.4,1.4,1.3,1.3,1.4
"50600  Karikko (Mikkeli)",2.3,2.3,2.3,2.2,2.3
"50670  Otava (Mikkeli)",2.1,2.1,2.1,2.1,2.1
"50700  Syysjärvi (Mikkeli)",2.4,2.4,2.4,2.5,2.5
"50770  Korpikoski (Mikkeli)",2.2,2.1,2.1,2.2,2.1
"50800  Annilanselkä (Mikkeli)",2.2,2.2,2.2,2.2,2.2
"50970  Ihastjärvi (Mikkeli)",2.1,2.1,2.1,2.1,2.1
"51130  Vanhamäki (Mikkeli)",1.9,1.9,1.9,1.9,1.8
"51200  Kangasniemi Keskus (Kangasniemi)",1.7,1.7,1.7,1.7,1.7
"51260  Tahkomäki (Kangasniemi)",2.3,2.3,2.3,2.3,2.3
"51270  Kutemajärvi (Kangasniemi)",2.0,2.0,2.0,2.1,2.1
"51310  Levä (Kangasniemi)",1.9,1.9,1.9,1.8,1.8
"51335  Kaihlamäki (Kangasniemi)",...,...,...,...,...
"51340  Hännilä-Särkiharju (Kangasniemi)",2.1,2.1,2.1,2.1,2.1
"51360  Koivula-Synsiö (Kangasniemi)",2.1,2.1,2.0,2.1,2.1
"51380  Synsiö (Kangasniemi)",...,...,...,...,...
"51420  Harjumaa-Pajulankylä (Mikkeli)",1.9,2.0,1.9,1.9,1.8
"51430  Läsäkoski (Kangasniemi)",2.0,1.9,2.0,1.9,2.0
"51440  Vuojalahti (Kangasniemi)",2.0,2.0,2.0,2.0,2.0
"51450  Pajulankylä (Mikkeli)",...,...,...,...,...
"51460  Luusniemi (Kangasniemi)",2.0,2.0,2.0,2.0,1.9
"51520  Hiirola (Mikkeli)",2.2,2.1,2.1,2.1,2.0
"51540  Kalvitsa (Mikkeli)",2.1,2.2,2.2,2.1,2.0
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",1.8,1.8,1.8,1.8,1.8
"51620  Pitkäaho (Mikkeli)",...,...,...,...,...
"51670  Nykälä (Mikkeli)",1.9,1.8,1.7,1.7,1.7
"51720  Rahula (Mikkeli)",2.5,2.4,2.5,2.5,2.4
"51740  Huuhanaho (Mikkeli)",2.1,2.0,2.0,1.9,1.9
"51760  Nuutilanmäki (Juva)",2.1,2.0,2.0,2.0,1.9
"51780  Kuosmala (Juva)",1.9,1.9,1.9,1.9,1.9
"51810  Maivala (Juva)",2.0,2.0,2.0,2.0,2.1
"51820  Hatsola (Juva)",2.1,2.1,2.1,2.1,2.0
"51850  Vuorenmaa (Juva)",2.0,2.0,2.0,1.9,1.8
"51860  Narila (Juva)",1.8,1.8,1.8,1.8,1.8
"51880  Koikkala (Juva)",1.9,1.9,1.8,1.8,1.8
"51890  Risulahti (Juva)",2.2,2.1,2.0,1.9,1.9
"51900  Juva Keskus (Juva)",1.8,1.8,1.8,1.8,1.8
"51930  Paatela (Juva)",2.2,2.1,2.1,2.1,2.1
"51940  Härkälä (Juva)",2.0,2.0,1.9,1.9,1.9
"51980  Lauteala (Juva)",2.1,2.0,2.0,2.0,2.0
"52100  Anttola (Mikkeli)",2.0,2.0,1.9,1.9,1.9
"52110  Majavesi (Mikkeli)",2.4,2.3,2.3,2.4,2.3
"52150  Hauhala (Mikkeli)",2.0,2.0,1.9,1.9,2.0
"52200  Puumala Keskus (Puumala)",1.8,1.7,1.7,1.7,1.7
"52230  Hurissalo (Puumala)",1.9,1.9,1.9,1.9,1.9
"52270  Ryhälä (Puumala)",...,...,...,...,...
"52300  Ristiina Keskus (Mikkeli)",1.9,1.9,1.9,1.9,1.9
"52320  Vitsiälä (Mikkeli)",2.3,2.2,2.3,2.2,2.2
"52330  Heimari (Mikkeli)",...,...,...,...,...
"52340  Hangastenmaa (Mikkeli)",2.0,2.0,2.0,2.0,2.0
"52360  Someenjärvi (Mikkeli)",1.9,1.9,2.0,2.0,1.9
"52420  Pellosniemi (Mikkeli)",1.8,1.7,1.7,1.7,1.7
"52510  Hietanen (Hirvensalmi)",2.0,2.0,2.0,2.0,2.0
"52520  Syväsmäki (Hirvensalmi)",2.2,2.2,2.1,2.2,2.1
"52550  Hirvensalmi Keskus (Hirvensalmi)",1.8,1.8,1.8,1.8,1.8
"52610  Tuukkalanlahti (Hirvensalmi)",1.8,1.8,1.8,1.8,1.7
"52620  Kuitula (Hirvensalmi)",1.7,1.7,1.7,1.7,1.6
"52700  Mäntyharju Keskus (Mäntyharju)",1.8,1.8,1.8,1.8,1.8
"52720  Karankamäki-Koirakivi (Mäntyharju)",1.8,1.9,1.9,1.8,1.7
"52730  Koirakivi (Mäntyharju)",1.7,1.8,1.7,1.9,1.9
"52740  Tuustaipale (Mäntyharju)",1.9,2.0,2.0,2.0,2.0
"52760  Mynttilä (Mäntyharju)",1.9,1.7,1.7,1.7,1.7
"52780  Kuomiokoski (Mikkeli)",1.6,1.6,1.8,1.7,1.7
"52830  Suomenniemi (Mikkeli)",1.8,1.8,1.7,1.7,1.7
"52850  Halmeniemi (Mäntyharju)",1.9,1.9,1.9,2.1,2.0
"52890  Käävänkylä (Mäntyharju)",2.0,2.0,2.0,1.9,1.9
"52920  Voikoski (Kouvola)",1.8,1.8,1.8,1.8,1.9
"52960  Nurmaa (Mäntyharju)",1.9,1.9,1.9,1.9,1.9
"52970  Pankalahti-Ahvenainen (Mäntyharju)",2.0,1.9,1.8,1.9,1.8
"52980  Ahvenainen (Mäntyharju)",...,...,...,...,...
"53100  Lappeenranta keskus (Lappeenranta)",1.5,1.5,1.5,1.5,1.5
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",1.7,1.7,1.7,1.7,1.7
"53200  Kaukas-Tirilä (Lappeenranta)",1.7,1.7,1.7,1.8,1.8
"53300  Lauritsala-Mälkiä (Lappeenranta)",1.9,1.9,1.9,1.9,1.9
"53400  Laihia (Lappeenranta)",2.4,2.4,2.4,2.4,2.4
"53420  Mustola (Lappeenranta)",2.3,2.2,2.2,2.2,2.2
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",2.2,2.2,2.2,2.2,2.2
"53550  Kourulanmäki (Lappeenranta)",2.5,2.5,2.4,2.4,2.4
"53600  Kesämäki (Lappeenranta)",1.6,1.6,1.6,1.6,1.6
"53650  Mattila-Kuusela (Lappeenranta)",2.1,2.1,2.1,2.0,2.0
"53810  Kuusimäki-Lavola (Lappeenranta)",1.7,1.7,1.6,1.6,1.6
"53830  Rutola (Lappeenranta)",2.6,2.6,2.6,2.5,2.5
"53850  Skinnarila (Taipalsaari)",1.9,1.9,1.9,1.9,1.9
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",1.6,1.6,1.5,1.5,1.6
"53920  Voisalmi (Lappeenranta)",1.7,1.7,1.7,1.7,1.7
"53950  Kivisalmi (Lappeenranta)",1.9,1.9,1.8,1.8,1.8
"54100  Joutseno Keskus (Lappeenranta)",2.0,1.9,1.9,1.9,1.9
"54110  Lampikangas (Lappeenranta)",2.0,2.1,2.0,2.0,2.0
"54120  Pulp (Lappeenranta)",2.1,2.0,2.1,2.0,2.0
"54190  Konnunsuo (Lappeenranta)",1.8,2.0,2.0,2.0,2.0
"54230  Nuijamaa (Lappeenranta)",2.1,2.0,2.0,2.0,2.0
"54250  Rapattila (Lappeenranta)",2.1,2.1,2.2,2.2,2.1
"54260  Hanhijärvi (Lappeenranta)",2.6,2.6,2.6,2.5,2.5
"54270  Vainikkala (Lappeenranta)",2.0,2.0,2.0,1.9,2.0
"54300  Vilkjärvi (Lappeenranta)",2.4,2.3,2.3,2.3,2.2
"54310  Hytti (Lappeenranta)",2.5,2.5,2.6,2.5,2.6
"54330  Simola (Lappeenranta)",2.2,2.2,2.3,2.2,2.2
"54390  Pulsa (Lappeenranta)",2.0,2.0,1.9,1.9,1.8
"54410  Ylämaa Keskus (Lappeenranta)",1.9,1.9,1.9,1.9,1.9
"54430  Hujakkala (Lappeenranta)",2.0,1.9,1.9,1.9,1.9
"54460  Ylijärvi (Lappeenranta)",2.0,1.9,1.9,1.9,1.9
"54490  Ahomäki (Miehikkälä)",1.7,1.7,1.7,1.7,1.7
"54500  Taavetti-Somerharju (Luumäki)",1.7,1.7,1.7,1.7,1.7
"54510  Uro (Luumäki)",2.2,2.1,2.1,2.1,2.1
"54530  Luumäki (Luumäki)",2.0,2.0,1.9,1.9,1.9
"54550  Suo-Anttila (Luumäki)",2.3,2.2,2.1,2.0,2.0
"54580  Somerharju (Luumäki)",...,...,...,...,...
"54590  Kaitjärvi (Luumäki)",2.0,2.0,2.0,1.9,1.9
"54710  Lemi Keskus (Lemi)",1.8,1.8,1.8,1.8,1.8
"54720  Laksiainen (Lemi)",2.3,2.2,2.3,2.2,2.4
"54750  Välijoki (Savitaipale)",2.0,2.0,1.9,1.9,1.9
"54770  Heituinlahti (Savitaipale)",1.9,1.9,1.9,1.9,1.9
"54800  Savitaipale Keskus (Savitaipale)",1.8,1.8,1.8,1.8,1.8
"54820  Kotimäki (Lemi)",2.1,2.1,2.0,1.9,2.0
"54850  Kuukanniemi (Lemi)",2.5,2.5,2.5,2.4,2.4
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",2.2,2.2,2.1,2.2,2.1
"54920  Taipalsaari (Taipalsaari)",2.1,2.2,2.2,2.2,2.2
"54930  Levänen (Taipalsaari)",2.2,2.1,2.0,2.1,2.1
"54940  Solkei (Taipalsaari)",1.7,1.7,1.7,1.7,1.8
"54950  Pettilä (Savitaipale)",1.7,1.7,1.7,1.7,1.6
"54960  Vehkataipale (Taipalsaari)",2.4,2.3,2.3,2.3,2.2
"55100  Imatra Keskus (Imatra)",1.8,1.8,1.8,1.8,1.7
"55120  Mansikkala-Tuulikallio (Imatra)",1.6,1.6,1.6,1.6,1.6
"55300  Rauha-Tiuruniemi (Lappeenranta)",1.9,1.9,1.9,1.9,1.9
"55320  Rauha (Lappeenranta)",2.0,2.0,1.9,1.9,1.9
"55330  Tiuruniemi (Lappeenranta)",1.7,1.6,1.6,1.5,1.5
"55400  Tainionkoski-Mustalampi (Imatra)",2.0,2.0,2.0,2.0,2.0
"55420  Karhumäki-Karhukallio (Imatra)",2.1,2.1,2.1,2.1,2.1
"55510  Sotkulampi-Linnasuo (Imatra)",1.5,1.5,1.5,1.5,1.5
"55610  Rajapatsas-Teppanala (Imatra)",1.8,1.8,1.8,1.7,1.8
"55700  Vintteri-Virasoja (Imatra)",2.0,2.0,2.0,1.9,1.9
"55800  Vuoksenniska-Saarlampi (Imatra)",1.7,1.7,1.7,1.7,1.7
"55910  Rautio-Kurkvuori (Imatra)",1.9,1.9,1.9,1.8,1.9
"56100  Ruokolahti Keskus (Ruokolahti)",1.8,1.8,1.8,1.7,1.7
"56120  Salosaari (Ruokolahti)",2.2,2.1,2.2,2.2,2.2
"56140  Äitsaari (Ruokolahti)",1.9,1.9,1.8,1.8,1.8
"56210  Virmutjoki (Ruokolahti)",2.1,2.1,2.1,2.0,1.9
"56310  Syyspohja (Ruokolahti)",1.9,1.9,1.9,1.9,1.9
"56330  Utula (Ruokolahti)",...,...,...,...,...
"56350  Kyläniemi (Taipalsaari)",...,...,...,...,...
"56410  Kaiturinpää (Ruokolahti)",2.1,2.2,2.1,2.0,2.0
"56440  Pohja-Lankila (Ruokolahti)",2.0,2.0,1.9,2.0,1.9
"56510  Puntala (Ruokolahti)",2.1,2.1,2.0,2.0,2.0
"56550  Niska-Pietilä (Rautjärvi)",2.1,2.2,2.1,1.9,1.8
"56610  Rautjärvi (Rautjärvi)",1.7,1.7,1.7,1.7,1.7
"56640  Purnujärvi (Rautjärvi)",1.9,1.9,1.9,1.8,1.9
"56710  Miettilä (Rautjärvi)",1.7,1.8,1.8,1.8,1.8
"56730  Laikko (Rautjärvi)",1.9,1.8,1.8,1.9,1.8
"56800  Simpele (Rautjärvi)",1.7,1.7,1.7,1.7,1.7
"57100  Heikinpohja-Piispanmäki (Savonlinna)",1.4,1.4,1.4,1.4,1.4
"57120  Savonlinna (Savonlinna)",...,...,...,...,...
"57130  Savonlinna Keskus (Savonlinna)",1.4,1.4,1.4,1.4,1.4
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",1.5,1.5,1.5,1.5,1.5
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",1.8,1.8,1.8,1.8,1.7
"57210  Nojanmaa (Savonlinna)",2.0,2.0,2.0,1.9,1.9
"57220  Savonlinna (Savonlinna)",1.8,1.7,1.7,1.7,1.7
"57230  Inkerinkylä (Savonlinna)",2.1,2.1,2.1,2.1,2.0
"57310  Savonlinna (Savonlinna)",2.1,2.1,2.1,2.1,2.1
"57510  Laitaatsilta (Savonlinna)",2.2,2.2,2.2,2.2,2.2
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",2.2,2.3,2.2,2.2,2.2
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",2.1,2.1,2.1,2.1,2.1
"57810  Savonlinna (Savonlinna)",2.1,2.1,2.1,2.1,2.1
"58130  Oravi (Savonlinna)",2.0,1.9,1.9,1.9,2.1
"58140  Ahvensalmi (Savonlinna)",1.9,2.0,1.9,2.0,2.2
"58150  Makkola (Savonlinna)",2.3,2.3,2.2,2.2,2.1
"58160  Karvila (Enonkoski)",2.1,2.0,2.1,2.2,2.1
"58170  Simanala (Enonkoski)",2.4,2.3,2.2,2.2,2.2
"58175  Enonkoski Keskus (Enonkoski)",1.7,1.7,1.8,1.8,1.7
"58180  Ihamaniemi (Enonkoski)",2.0,2.0,2.0,1.9,1.8
"58200  Kerimäki Keskus (Savonlinna)",1.9,1.8,1.8,1.8,1.8
"58220  Louhi (Savonlinna)",2.0,2.0,1.9,2.0,2.0
"58260  Kumpuranta (Savonlinna)",2.0,2.0,2.0,1.9,1.9
"58300  Savonranta Keskus (Savonlinna)",1.7,1.7,1.7,1.6,1.6
"58320  Raikuu (Savonlinna)",1.7,1.8,1.8,1.8,1.7
"58350  Villala (Kitee)",1.8,1.8,1.7,1.7,1.7
"58360  Säimen (Savonlinna)",1.8,1.7,1.7,1.7,1.7
"58390  Rönkönvaara (Savonlinna)",1.4,1.5,1.5,1.6,1.5
"58410  Haapakallio (Savonlinna)",2.4,2.4,2.4,2.3,2.3
"58420  Silvola (Savonlinna)",2.5,2.5,2.5,2.4,2.5
"58430  Kulennoinen (Savonlinna)",2.3,2.3,2.3,2.2,2.2
"58450  Punkaharju (Savonlinna)",2.1,2.1,2.0,2.1,2.0
"58500  Punkasalmi (Savonlinna)",1.7,1.7,1.7,1.7,1.7
"58520  Hiukkajoki (Savonlinna)",2.1,2.0,1.9,2.0,2.0
"58550  Putikko (Savonlinna)",1.9,1.9,1.9,1.9,1.9
"58570  Ruhvana (Savonlinna)",...,...,...,2.0,2.0
"58580  Vuoriniemi (Savonlinna)",1.9,1.8,1.8,1.9,1.9
"58610  Telakanava (Sulkava)",2.4,2.3,2.2,2.3,2.3
"58620  Lohilahti (Sulkava)",1.8,1.8,1.8,1.8,1.7
"58650  Kiviapaja (Savonlinna)",1.9,1.9,1.8,1.9,1.9
"58680  Piojärvi (Savonlinna)",...,...,...,...,...
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",2.0,1.8,1.8,1.8,1.8
"58700  Sulkava Keskus (Sulkava)",1.8,1.8,1.8,1.8,1.8
"58720  Kaartilankoski (Sulkava)",2.3,2.3,2.3,2.2,2.2
"58770  Pihlajalahti (Savonlinna)",2.1,2.0,2.0,2.0,2.1
"58810  Kallislahti (Savonlinna)",2.1,2.1,2.1,2.1,2.0
"58830  Parkumäki (Rantasalmi)",2.3,2.2,2.3,2.2,2.2
"58850  Hiltula (Rantasalmi)",2.1,2.1,2.1,2.1,2.0
"58900  Rantasalmi Keskus (Rantasalmi)",1.8,1.8,1.8,1.8,1.8
"58910  Rantasalmi Asemanseutu (Rantasalmi)",2.1,2.2,2.1,2.1,2.0
"58920  Kolkontaipale (Rantasalmi)",2.0,2.0,2.0,2.0,2.0
"58940  Tuusmäki (Rantasalmi)",2.2,2.2,2.2,2.1,2.1
"59100  Parikkala Keskus (Parikkala)",1.7,1.7,1.7,1.7,1.7
"59130  Koitsanlahti (Parikkala)",2.0,1.9,1.9,1.9,1.9
"59210  Melkoniemi (Parikkala)",2.1,2.0,2.0,2.0,1.9
"59310  Särkisalmi (Parikkala)",1.9,1.8,1.8,1.8,1.8
"59320  Haapaoja (Parikkala)",1.9,1.9,1.8,1.9,1.8
"59410  Kirjavala (Parikkala)",1.9,1.9,1.9,1.9,1.8
"59510  Maironiemi (Parikkala)",1.6,1.6,1.7,1.7,1.7
"59520  Saari (Parikkala)",2.2,2.2,2.3,2.4,2.3
"59530  Mikkolanniemi (Parikkala)",1.8,1.9,1.9,1.9,1.9
"59610  Tarnala (Parikkala)",1.9,1.9,1.9,1.9,1.9
"59710  Kummunkylä (Parikkala)",1.8,1.8,1.9,1.9,1.9
"59720  Niukkala (Parikkala)",1.7,1.7,1.7,1.7,1.7
"59730  Uukuniemi (Parikkala)",1.9,1.9,1.7,1.7,1.7
"59800  Kesälahti Keskus (Kitee)",1.8,1.7,1.7,1.8,1.8
"59810  Suurikylä (Kitee)",1.6,1.7,1.7,1.7,1.6
"59820  Purujärvi-Rajavaara (Kitee)",1.9,1.9,1.7,1.8,1.8
"60100  Seinäjoki Keskus (Seinäjoki)",1.5,1.5,1.5,1.5,1.5
"60120  Pohja (Seinäjoki)",1.7,1.7,1.7,1.7,1.7
"60150  Kasperi (Seinäjoki)",1.9,1.9,1.9,1.9,1.9
"60200  Törnävä (Seinäjoki)",2.2,2.2,2.2,2.2,2.2
"60220  Huhtala (Seinäjoki)",1.6,1.6,1.6,1.6,1.6
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",...,...,...,...,...
"60320  Alakylä-Jouppi (Seinäjoki)",2.0,2.0,2.0,2.0,2.0
"60420  Impivaara (Seinäjoki)",2.8,2.8,2.8,2.8,2.8
"60450  Munakka (Ilmajoki)",2.5,2.5,2.4,2.4,2.4
"60510  Hyllykallio (Seinäjoki)",2.3,2.3,2.3,2.3,2.3
"60550  Nurmo Keskus (Seinäjoki)",2.3,2.3,2.3,2.3,2.3
"60560  Halkosaari (Seinäjoki)",2.7,2.7,2.7,2.7,2.7
"60640  Kurjenneva (Seinäjoki)",2.7,2.7,2.8,2.7,2.7
"60720  Tuomikylä (Ilmajoki)",2.7,2.7,2.7,2.7,2.7
"60760  Pojanluoma (Ilmajoki)",2.6,2.6,2.6,2.5,2.5
"60800  Ilmajoki Keskus (Ilmajoki)",2.1,2.1,2.1,2.0,2.1
"61100  Peräseinäjoki Keskus (Seinäjoki)",2.0,2.0,1.9,1.9,1.9
"61110  Vuolle (Seinäjoki)",2.3,2.2,2.3,2.3,2.3
"61120  Louko (Seinäjoki)",2.7,2.7,2.7,2.7,2.7
"61140  Pasto (Seinäjoki)",2.4,2.4,2.3,2.3,2.3
"61150  Sydänmaa (Alavus)",2.5,...,2.4,2.4,2.3
"61160  Koura (Seinäjoki)",2.3,2.3,2.3,2.2,2.3
"61170  Sääskiniemi (Alavus)",2.2,2.2,2.2,2.2,2.2
"61180  Haapaluoma (Seinäjoki)",2.1,2.1,2.0,2.0,2.0
"61220  Myllysalo (Kurikka)",2.2,2.1,2.2,2.1,2.0
"61230  Luopa (Kurikka)",2.3,2.4,2.3,2.4,2.4
"61250  Jalasto (Kurikka)",2.4,2.3,2.3,2.3,2.2
"61270  Luopajärvi (Kurikka)",2.5,2.4,2.5,2.4,2.4
"61280  Jokipii (Kurikka)",2.1,2.1,2.1,2.1,2.1
"61290  Taivalmaa (Kurikka)",1.9,2.1,2.0,2.1,2.1
"61300  Kurikka Keskus (Kurikka)",2.0,2.0,2.0,2.0,2.0
"61310  Panttila (Kurikka)",2.1,2.1,2.1,2.1,2.1
"61330  Koskenkorva (Ilmajoki)",2.2,2.1,2.1,2.1,2.1
"61340  Nopankylä (Ilmajoki)",2.2,2.2,2.2,2.2,2.2
"61350  Huissi (Ilmajoki)",2.2,2.2,2.3,2.3,2.1
"61360  Mieto (Kurikka)",2.3,2.2,2.2,2.2,2.1
"61370  Lohiluoma (Kurikka)",2.2,2.2,2.2,2.2,2.2
"61380  Polvenkylä (Kurikka)",2.6,2.5,2.4,2.5,2.5
"61400  Ylistaro Keskus (Seinäjoki)",1.9,1.9,1.9,1.9,1.9
"61410  Ylistaro Asemanseutu (Seinäjoki)",2.3,2.3,2.2,2.2,2.2
"61430  Isorehto (Seinäjoki)",2.4,2.4,2.4,2.4,2.4
"61440  Untamala (Seinäjoki)",2.1,2.0,2.0,2.0,2.0
"61450  Kylänpää (Seinäjoki)",2.1,2.1,2.1,2.0,2.1
"61460  Hanhikoski (Seinäjoki)",2.4,2.3,2.4,2.3,2.4
"61470  Kitinoja (Seinäjoki)",2.5,2.6,2.6,2.6,2.7
"61500  Isokyrö Keskus (Isokyrö)",2.0,2.0,2.0,2.0,2.0
"61520  Lehmäjoki (Isokyrö)",2.0,2.0,1.9,1.9,2.0
"61550  Orismala (Isokyrö)",2.1,2.1,2.1,2.1,2.2
"61560  Orisberg (Isokyrö)",...,...,...,...,...
"61600  Jalasjärvi Keskus (Kurikka)",1.9,1.9,1.9,1.8,1.8
"61630  Hirvijärvi (Kurikka)",2.3,2.3,2.3,2.2,2.2
"61640  Ala-Valli (Kurikka)",2.1,2.1,2.1,2.1,2.0
"61650  Kalakoski (Seinäjoki)",2.0,1.9,1.9,1.9,1.9
"61680  Mantila (Kurikka)",2.1,2.1,2.1,2.2,2.2
"61710  Pentinmäki (Kurikka)",2.4,2.4,2.5,2.4,2.4
"61720  Koskue (Kurikka)",2.2,2.1,2.1,2.1,2.1
"61730  Yli-Valli (Kurikka)",2.1,2.0,2.0,1.9,2.0
"61760  Ilvesjoki (Kurikka)",2.3,2.3,2.2,2.2,2.2
"61800  Kauhajoki Keskus (Kauhajoki)",1.9,1.9,1.9,1.9,1.9
"61810  Luomankylä (Kauhajoki)",2.3,2.3,2.2,2.2,2.2
"61820  Kainasto (Kauhajoki)",2.2,2.1,2.1,2.0,2.0
"61840  Norinkylä (Teuva)",1.9,1.9,1.9,1.9,1.9
"61850  Kauhajoki Asemanseutu (Kauhajoki)",2.1,2.1,2.1,2.1,2.1
"61860  Harja (Kauhajoki)",2.2,2.3,2.3,2.3,2.3
"61880  Ikkeläjärvi (Kauhajoki)",2.2,2.3,2.2,2.2,2.2
"61910  Nummijärvi (Kauhajoki)",2.1,2.0,2.0,2.0,2.0
"61920  Nummikoski (Kauhajoki)",...,...,...,...,...
"61940  Hyyppä (Kauhajoki)",2.1,2.2,2.1,2.2,2.1
"61950  Juonikylä (Kauhajoki)",1.9,1.8,1.9,1.8,1.8
"61960  Kyrönlatva (Kauhajoki)",1.9,1.9,2.0,2.0,1.9
"61980  Päntäne (Kauhajoki)",2.0,1.9,2.0,2.0,2.0
