"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"10410  Åminnefors (Raseborg)",90,92,95,98,91
"10420  Pohjankuru (Raseborg)",386,406,414,413,422
"10440  Bollsta (Raseborg)",72,73,67,66,69
"10470  Fiskari (Raseborg)",96,110,118,112,115
"10480  Antskog (Raseborg)",16,15,17,18,14
"10520  Tenhola Kirkonkylä (Raseborg)",283,292,297,293,291
"10570  Bromarv (Raseborg)",96,96,103,103,97
"10600  Tammisaari Keskus (Raseborg)",1511,1542,1542,1542,1558
"10620  Tammisaari (Raseborg)",277,292,300,297,298
"10640  Dragsvik (Raseborg)",110,135,125,128,117
"10650  Flyet (Raseborg)",611,635,646,637,645
"10660  Trollböle (Raseborg)",180,184,179,184,187
"10680  Skogby (Raseborg)",34,32,30,31,32
"10710  Snappertuna (Raseborg)",59,59,70,69,67
"10820  Lappohja (Hanko)",138,145,143,155,158
"10900  Hanko Keskus (Hanko)",1273,1270,1265,1267,1275
"10940  Hangonkylä (Hanko)",296,277,301,308,303
"10960  Hanko Pohjoinen (Hanko)",353,343,335,338,325
"11100  Riihimäki Keskus (Riihimäki)",2623,2653,2693,2671,2712
"11120  Pohjois-Riihimäki (Riihimäki)",1408,1425,1420,1424,1434
"11130  Peltosaari-Patastenmäki (Riihimäki)",2104,2106,2104,2180,2219
"11310  Taka-Kasarmi (Riihimäki)",96,97,103,106,109
"11710  Herajoki (Riihimäki)",497,494,482,515,510
"11910  Lasi-Kumela (Riihimäki)",485,513,489,501,489
"12100  Oitti (Hausjärvi)",558,582,587,582,606
"12130  Mommila (Hausjärvi)",52,59,64,62,63
"12170  Hietoinen (Hausjärvi)",35,33,32,36,34
"12210  Hausjärvi kk (Hausjärvi)",28,29,32,31,38
"12240  Hikiä (Hausjärvi)",211,218,219,219,227
"12310  Ryttylä (Hausjärvi)",301,313,311,302,302
"12350  Turkhauta (Hausjärvi)",71,64,65,63,63
"12380  Leppäkoski (Janakkala)",88,90,84,83,78
"12400  Tervakoski (Janakkala)",922,921,945,947,935
"12450  Vähikkälä (Janakkala)",33,31,28,30,31
"12520  Kormu (Loppi)",40,38,35,37,36
"12540  Launonen (Loppi)",162,163,171,176,177
"12600  Läyliäinen (Loppi)",277,271,274,271,277
"12630  Sajaniemi (Loppi)",36,38,42,41,46
"12640  Joentaka (Loppi)",26,29,32,35,42
"12700  Loppi kk (Loppi)",571,573,573,579,580
"12750  Pilpala (Loppi)",84,83,83,89,94
"12820  Räyskälä (Loppi)",...,...,...,...,...
"12920  Topeno (Loppi)",60,62,61,63,58
"12950  Vojakkala-Eerolankulma (Loppi)",39,41,42,40,41
"13100  Hämeenlinna Keskus (Hämeenlinna)",4389,4495,4525,4550,4484
"13110  Kantola (Hämeenlinna)",65,68,68,143,137
"13130  Kauriala (Hämeenlinna)",2143,2160,2159,2184,2159
"13200  Keinusaari (Hämeenlinna)",926,1064,1176,1187,1183
"13210  Hätilä (Hämeenlinna)",2080,2098,2124,2101,2112
"13220  Sairio (Hämeenlinna)",263,268,274,308,306
"13250  Katuma (Hämeenlinna)",387,382,383,379,367
"13270  Ruununmylly (Hämeenlinna)",158,167,184,190,187
"13300  Käikälä (Hämeenlinna)",280,297,286,270,278
"13330  Harviala (Janakkala)",52,51,53,53,58
"13430  Hattelmala (Hämeenlinna)",128,120,115,122,123
"13500  Jukola (Hämeenlinna)",2066,2156,2189,2207,2204
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",0,0,0,0,0
"13600  Ojoinen (Hämeenlinna)",967,990,995,974,965
