"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"77960  Pakarila (Rautalampi)",...,...,...,...,...
"78200  Varkaus Keskus (Varkaus)",25342,26065,27417,27928,28701
"78210  Kuoppakangas (Varkaus)",38930,40044,40856,43508,44170
"78250  Päiviönsaari (Varkaus)",32526,33982,35222,35803,36519
"78300  Kommila (Varkaus)",30429,31672,32735,34446,35046
"78310  Puurtila (Varkaus)",47099,50837,52661,52433,55795
"78400  Luttila (Varkaus)",43158,44487,46302,48163,49839
"78480  Timola (Leppävirta)",52574,54962,57075,57869,59751
"78500  Pitkälänniemi-Könönpelto (Varkaus)",41474,43018,43805,45762,46960
"78610  Kurola (Varkaus)",44192,46612,46283,50517,52725
"78710  Akonlahti (Varkaus)",46090,47504,49458,49602,51126
"78850  Käpykangas (Varkaus)",38230,39538,41163,42176,43665
"78870  Kaura-Aho (Varkaus)",36192,37902,38097,39808,40476
"78880  Kuvansi (Joroinen)",42633,44216,45867,47274,48658
"78900  Ruokokoski (Varkaus)",44446,45676,47085,46355,47331
"79100  Leppävirta Keskus (Leppävirta)",36896,39866,40741,41046,42576
"79130  Sorsakoski (Leppävirta)",34444,36746,36807,38767,40542
"79140  Kotalahti (Leppävirta)",46970,49488,53225,53295,55407
"79150  Konnuslahti-Valkeamäki (Leppävirta)",47703,49719,51596,54136,55087
"79160  Saamaiskylä (Leppävirta)",35126,38609,41698,43649,47505
"79180  Tuppurinmäki (Leppävirta)",...,...,...,...,...
"79190  Valkeamäki (Leppävirta)",...,...,...,...,...
"79230  Moninmäki (Leppävirta)",...,...,...,...,...
"79255  Kurjala-Moninmäki (Leppävirta)",41589,44553,41992,42489,41674
"79265  Puponmäki (Leppävirta)",40602,42634,46312,44475,45400
"79330  Näädänmaa (Leppävirta)",36895,41631,36916,37816,41080
"79350  Itä-Soisalo (Leppävirta)",37843,39732,40734,41322,44524
"79410  Niinimäki (Leppävirta)",45565,48752,51786,52246,55689
"79480  Kangaslampi Keskus (Varkaus)",34335,38884,38928,40261,42701
"79520  Viljolahti (Varkaus)",35458,39102,36146,42236,41045
"79600  Joroinen Keskus (Joroinen)",35330,36555,38476,39474,40892
"79620  Huutokoski (Joroinen)",39717,41767,50007,44727,46410
"79630  Kolma (Joroinen)",45364,48145,49233,51771,59373
"79660  Kerisalo (Joroinen)",61930,51137,56422,51738,65693
"79680  Lahnalahti (Joroinen)",38482,41856,42896,47016,50763
"79690  Kaitainen (Joroinen)",41446,45248,55092,48569,56928
"79700  Heinävesi Keskus (Heinävesi)",33169,35101,35466,36743,38239
"79810  Karvion kanava (Heinävesi)",35413,36483,37350,39748,39643
"79820  Varistaipale (Heinävesi)",40875,40030,40871,45122,46557
"79830  Palokki (Heinävesi)",...,...,...,...,...
"79850  Uusi-Valamo (Heinävesi)",0,0,0,0,0
"79860  Suuraho - Uusi-Valamo (Heinävesi)",31550,31886,34294,36530,36172
"79885  Etelä-Petruma (Heinävesi)",35653,38393,42244,42932,...
"79895  Sarvikumpu (Heinävesi)",38451,36970,42320,40834,49841
"79910  Kerma (Heinävesi)",38728,43497,42218,45665,47822
"79940  Vihtari-Poikiinaho (Heinävesi)",34234,36193,38175,39996,44144
"80100  Joensuu Keskus, Pohjoinen (Joensuu)",29532,30526,30783,31909,33341
"80110  Joensuu Keskus Eteläinen (Joensuu)",33825,34004,35795,34739,35727
"80130  Kanervala (Joensuu)",39528,37991,38602,37313,38631
"80140  Noljakka (Joensuu)",36375,38244,39227,39198,40411
"80160  Rantakylä-Latola (Joensuu)",31682,32211,33028,34389,35545
"80170  Utra (Joensuu)",39151,39056,39639,42200,42361
"80200  Niinivaara (Joensuu)",29957,31285,32282,33971,35342
"80210  Sairaala-alue (Joensuu)",0,0,...,0,0
"80220  Penttilä (Joensuu)",32313,35628,34051,36873,37723
"80230  Hukanhauta (Joensuu)",42610,44603,47645,48373,55503
"80260  Kettuvaara (Joensuu)",37821,39089,41027,42113,44717
"80330  Reijola (Joensuu)",43891,45975,46211,49145,50232
"80400  Ylämylly (Liperi)",42888,44331,45716,47776,49625
"80510  Onttola-Kunnasniemi (Kontiolahti)",53675,58594,58087,60127,78937
"80710  Lehmo (Kontiolahti)",46044,48033,49547,51205,53598
"80770  Kontiolahti as (Kontiolahti)",48844,54360,68667,55280,57601
"80780  Kontioniemi (Kontiolahti)",61822,72701,67102,72044,72630
"80790  Kontioranta-Kontioniemi (Kontiolahti)",34228,40566,44646,56716,58541
"80850  Paihola (Kontiolahti)",39638,43745,42352,44728,45691
"80910  Kulho (Kontiolahti)",49734,52289,54150,56851,59544
"81100  Kontiolahti (Kontiolahti)",37001,38901,40058,41171,42405
"81120  Katajaranta (Kontiolahti)",46008,46823,51410,53122,54971
"81160  Romppala-Riihikangas (Kontiolahti)",33731,35586,37282,41392,42236
"81200  Eno Keskus (Joensuu)",33600,34880,36515,37776,38879
"81210  Louhioja (Joensuu)",41306,42392,41316,44087,45645
"81220  Jakokoski (Kontiolahti)",48279,50149,52249,51572,55108
"81230  Mönni (Kontiolahti)",39930,42956,42870,45320,47103
"81235  Lehtoi (Kontiolahti)",47271,49244,51546,52249,54746
"81260  Ahveninen (Joensuu)",41113,43087,46520,49208,49344
"81270  Paukkaja (Joensuu)",38239,38009,39318,41806,42426
"81280  Uimaharju (Joensuu)",33362,33985,34952,36943,37843
"81290  Ukkola (Joensuu)",30948,31638,33759,34062,36506
"81295  Haapalahti (Joensuu)",38105,39217,39651,39373,40973
"81320  Kuismavaara (Joensuu)",...,...,...,...,...
"81330  Luhtapohja (Joensuu)",32694,34545,33734,36290,36977
"81350  Tokrajärvi (Ilomantsi)",38070,36600,41396,37143,38836
"81360  Sarvinki (Joensuu)",30192,35783,37920,44249,40444
"81390  Revonkylä (Joensuu)",38101,45138,43029,47203,48540
"81420  Tyrjänsaari (Ilomantsi)",37399,40449,39882,39133,39350
"81430  Kivilahti (Ilomantsi)",28100,31842,31174,30132,32040
"81450  Huhus-Käenkoski (Ilomantsi)",28922,32758,30941,32641,36444
"81460  Käenkoski (Ilomantsi)",...,...,...,...,...
"81470  Naarva (Ilomantsi)",...,...,...,...,...
"81560  Vuonisjärvi (Lieksa)",38559,37944,40314,40987,43248
"81570  Kelvä (Lieksa)",37805,37685,36395,38140,40224
"81590  Vuonislahti (Lieksa)",34289,35994,36309,40182,40505
"81650  Hattuvaara (Lieksa)",33696,37879,36959,39184,40819
"81660  Lehmikylä (Lieksa)",...,...,...,...,...
"81700  Lieksa Keskus (Lieksa)",30365,30932,32364,33536,35111
"81720  Mähkö-Timitra (Lieksa)",33188,33911,34055,36311,37967
"81750  Pankakoski (Lieksa)",32228,32946,34745,36238,38260
"81810  Jamali (Lieksa)",37699,37771,39355,42337,43262
"81820  Kylänlahti (Lieksa)",38658,38260,42014,41760,43292
"81850  Mätäsvaara (Lieksa)",28437,34341,32383,37616,39049
"81860  Viekijärvi (Lieksa)",32500,32284,33109,37042,36580
"81950  Pankajärvi (Lieksa)",45968,44307,44514,53209,54546
"81970  Jongunjoki-Pankajärvi (Lieksa)",32875,34721,32500,31504,36390
"82110  Heinävaara (Joensuu)",41448,43931,45184,47911,48938
"82120  Keskijärvi (Joensuu)",38039,40354,41032,42669,44491
"82140  Kiihtelysvaara Keskus (Joensuu)",34978,37170,38057,40366,42347
"82160  Oskola (Joensuu)",31621,34879,...,...,...
"82170  Uskali (Joensuu)",...,...,...,...,...
"82180  Huhtilampi (Joensuu)",34512,38671,40858,42475,45331
"82200  Hammaslahti (Joensuu)",36950,37678,38494,40731,43025
"82210  Suhmura (Joensuu)",54431,60023,55460,57514,58967
"82220  Niittylahti (Joensuu)",48628,51902,53858,55939,58649
"82290  Nieminen (Rääkkylä)",34052,35716,37422,38186,41361
"82300  Rääkkylä Keskus (Rääkkylä)",29672,30138,31907,33384,34486
"82310  Oravisalo-Varpasalo (Rääkkylä)",34735,35955,38443,40436,42133
"82335  Rasivaara (Rääkkylä)",34310,35526,38581,41275,41034
"82350  Tikkala (Tohmajärvi)",42355,43004,48331,47793,47620
"82360  Onkamo (Tohmajärvi)",41855,44909,46340,46370,48935
"82380  Tolosenmäki (Kitee)",39940,40722,42708,43405,47402
"82395  Haarajärvi (Kitee)",40783,40600,46015,44564,46868
"82430  Puhos-Leinovaara (Kitee)",37501,38745,40058,42352,43732
"82460  Hummovaara (Kitee)",39264,38789,42187,45790,50687
"82490  Heinoniemi (Kitee)",32343,32783,34579,38879,40922
"82500  Kitee Keskus (Kitee)",33011,33817,34534,35853,37816
"82510  Kiteenlahti (Kitee)",41109,42256,43685,45021,47999
"82580  Juurikka (Kitee)",40339,41376,46512,48543,49193
"82590  Närsäkkälä (Kitee)",33061,36296,38912,39791,41402
"82600  Tohmajärvi Keskus (Tohmajärvi)",34283,34471,36454,38101,39949
"82655  Värtsilä Keskus (Tohmajärvi)",30945,33442,33873,36146,35529
"82660  Uusi-Värtsilä (Tohmajärvi)",29375,31665,32229,33179,33840
"82670  Kaurila (Tohmajärvi)",34114,40075,40453,40667,43311
"82675  Niirala-Jänisjoki (Tohmajärvi)",34237,35858,38603,42893,43206
"82685  Littilä (Tohmajärvi)",39915,41780,48964,49015,50686
"82710  Kovero (Joensuu)",37495,38568,41157,43790,46994
"82730  Tuupovaara Keskus-Pirttiaho (Joensuu)",33935,35420,36475,39601,41897
"82750  Öllölä (Joensuu)",30881,30875,33675,34215,35454
"82760  Hoilola (Joensuu)",31657,29443,31863,35331,37984
"82770  Kaustajärvi (Tohmajärvi)",...,...,...,...,...
"82815  Marjovaara (Joensuu)",36491,37715,40598,40927,42195
"82820  Maukkula (Ilomantsi)",41533,42862,44478,46421,46914
"82830  Haukivaara (Ilomantsi)",35404,38029,40063,43473,45185
"82840  Pirttiaho (Joensuu)",...,...,...,...,...
"82850  Kinnasniemi (Joensuu)",31994,35765,38441,42069,44913
"82865  Kokinvaara-Mannervaara (Joensuu)",...,...,...,...,...
"82870  Luutalahti (Joensuu)",...,...,...,...,...
"82880  Mannervaara (Joensuu)",...,...,...,...,...
"82900  Ilomantsi Keskus (Ilomantsi)",31695,32815,33491,34798,36110
"82915  Sonkaja (Ilomantsi)",35977,38225,40341,43072,44692
"82960  Lehtovaara-Kuikkalampi (Ilomantsi)",33403,33748,37768,35790,39055
"82967  Hattu (Ilomantsi)",31776,28341,31043,33371,35636
"82980  Möhkö (Ilomantsi)",34141,33917,35410,37580,39767
"83100  Liperi Keskus (Liperi)",33682,35081,36241,38011,39413
"83130  Salokylä (Liperi)",44236,47766,49581,49907,53399
"83140  Puromäki (Liperi)",43133,47025,48866,49243,49075
"83150  Roukalahti (Liperi)",39965,39846,44112,44652,48255
"83160  Tutjunniemi (Liperi)",31860,35690,36973,38268,42330
"83320  Risti-Juojärvi (Liperi)",34203,39468,39377,41060,37858
"83330  Kaatamo (Liperi)",38134,38643,40661,40971,51026
"83340  Kaarnalampi (Liperi)",33952,35282,35305,39128,36416
"83400  Viinijärvi (Liperi)",32745,33550,35663,36987,38870
"83430  Käsämä (Liperi)",44399,47398,47540,50123,52657
"83450  Vaivio (Liperi)",52082,55638,55703,83269,64802
"83460  Harinjärvi (Liperi)",51867,55638,55586,59941,63593
"83480  Ahonkylä (Liperi)",39214,38082,41104,42927,45313
"83500  Outokumpu Keskus (Outokumpu)",31821,33151,33896,35565,37388
"83550  Kokonvaara (Outokumpu)",36300,37831,40866,38601,42054
"83630  Kuusjärvi (Outokumpu)",36879,38638,40706,42533,42980
"83660  Varislahti (Outokumpu)",44113,46500,49716,49041,52328
"83700  Polvijärvi Keskus (Polvijärvi)",31525,32219,32886,35132,36123
"83720  Kuorevaara (Polvijärvi)",43197,46076,46684,46477,48307
"83750  Sotkuma (Polvijärvi)",46736,49126,52488,52799,56025
"83760  Sola (Polvijärvi)",32044,34559,35512,37778,40497
"83780  Horsmanaho (Polvijärvi)",38062,38673,42651,43971,46053
"83825  Kinahmo (Polvijärvi)",36484,36799,39182,41353,43772
"83830  Hukkala (Polvijärvi)",28860,30122,33477,35182,34926
"83835  Ruvaslahti (Polvijärvi)",35004,38518,38324,42698,44375
"83840  Saarivaara (Polvijärvi)",...,...,...,...,...
"83855  Martonvaara-Sammakkovaara (Polvijärvi)",32985,36673,35712,36391,40458
"83870  Polvela-Timovaara (Juuka)",31916,32319,31110,32442,33156
"83880  Kajoo (Juuka)",32303,32339,36741,36291,40353
"83900  Juuka Keskus (Juuka)",31660,32367,33816,35376,36684
"83910  Paalasmaa (Juuka)",28678,33204,33719,36497,37633
"83915  Vihtasuo (Juuka)",...,...,...,...,...
"83940  Nunnanlahti (Juuka)",33516,35175,37114,39913,42884
"83950  Ahmovaara (Juuka)",33447,36673,36158,38771,40768
"83960  Koli (Lieksa)",34557,40757,40544,44930,48550
"83985  Tuopanjoki (Juuka)",...,...,...,...,...
"84100  Ylivieska Keskus (Ylivieska)",39039,40668,41303,42926,44516
"84460  Tuomiperä (Ylivieska)",40751,41020,45253,45891,49067
"84540  Vähäkangas (Ylivieska)",46192,49194,53534,54471,55433
"84650  Kantokylä (Ylivieska)",40280,40380,42749,44757,47377
"84770  Isokoski (Ylivieska)",36999,36519,37606,43710,46244
"84880  Raudaskylä (Ylivieska)",44141,44514,46182,47913,49918
"85100  Kalajoki Keskus (Kalajoki)",40941,42983,45094,45260,47211
"85120  Metsä (Kalajoki)",45611,46377,47150,47408,48888
"85140  Tynkä (Kalajoki)",45344,48316,49834,52953,55864
"85150  Typpö (Kalajoki)",39597,41473,42211,44124,49846
"85160  Rautio (Kalajoki)",45906,49190,53257,53391,54424
"85180  Rahja (Kalajoki)",42461,43155,46496,47838,48325
"85200  Alavieska Keskus (Alavieska)",39320,40173,41688,42601,44414
"85210  Kähtävä (Alavieska)",44867,45021,48802,50131,51173
"85230  Talus (Alavieska)",63686,67172,66310,90350,62874
"85310  Sievi Asemanseutu (Sievi)",53711,60382,57767,56875,76949
"85320  Markkula (Sievi)",40835,43088,43648,51457,52429
"85340  Jyrinki (Sievi)",51949,54348,56019,56885,59913
"85410  Sievi Keskus (Sievi)",50463,56614,67592,61403,60256
"85430  Koivisto (Sievi)",50558,50077,56557,51943,56748
"85450  Joenkylä (Sievi)",48721,50556,51221,54710,55353
"85470  Kiiskilampi (Sievi)",44588,45732,47223,49473,50182
"85500  Nivala Keskus (Nivala)",39389,41148,41949,43603,45961
"85540  Mönkö (Nivala)",49389,49462,61761,55287,57569
"85560  Ainastalo (Nivala)",40626,43336,44085,46332,50293
"85580  Karvoskylä (Nivala)",38835,40613,42968,48188,46089
"85620  Sarja (Nivala)",39154,40725,44534,42930,46682
"85630  Sarjanahde (Nivala)",59813,54658,54188,58095,61142
"85640  Maliskylä (Nivala)",40501,42516,43557,45681,50078
"85660  Ruuskankylä (Nivala)",45517,45286,46133,49047,52016
"85710  Parkkila (Haapajärvi)",40599,41667,43979,44601,46697
"85730  Tulppo (Haapajärvi)",38694,39469,42760,43129,46488
"85800  Haapajärvi Keskus (Haapajärvi)",37429,39378,40443,41286,41887
"85820  Oksava (Haapajärvi)",40777,42224,45353,46127,46472
"85840  Kuona (Haapajärvi)",44190,45171,47954,47354,53756
"85900  Reisjärvi Keskus (Reisjärvi)",38541,39537,41260,42918,46167
"85930  Kangaskylä-Tolpankangas (Reisjärvi)",43193,43410,43431,47136,48245
"85940  Räisälänmäki (Reisjärvi)",45483,46084,47440,50277,51372
"85980  Köyhänperä (Reisjärvi)",44717,45046,47636,47005,49608
"86100  Pyhäjoki Keskus (Pyhäjoki)",39396,42047,42048,43807,45019
"86110  Parhalahti (Pyhäjoki)",44757,44966,44809,46626,50268
"86160  Pirttikoski (Pyhäjoki)",44366,44206,47785,50007,50362
"86170  Yppäri (Pyhäjoki)",46359,49289,51373,55725,55800
"86210  Petäjäskoski (Oulainen)",48982,51166,59499,62335,64371
"86220  Merijärvi Keskus (Merijärvi)",38743,40898,41966,43878,45221
"86230  Ylipää (Merijärvi)",34107,35114,39889,37421,40021
"86240  Pyhänkoski (Merijärvi)",41494,41950,43279,44683,47521
"86300  Oulainen Keskus (Oulainen)",36784,38352,39354,40173,41198
"86350  Kilpua (Oulainen)",39069,40916,41378,42909,45322
"86360  Ilveskorpi (Raahe)",42969,44457,46496,46321,51733
"86400  Vihanti Keskus (Raahe)",35195,36905,38045,39913,41248
"86440  Lampinsaari (Raahe)",33233,32837,36149,33339,33627
"86460  Alpua (Raahe)",36860,40507,42327,44586,47573
"86470  Lumimetsä (Raahe)",40115,42725,44885,42959,44219
"86480  Karhukangas (Haapavesi)",...,...,...,...,...
"86510  Matkaniva (Oulainen)",43629,46171,47489,50026,48690
"86530  Annonen (Haapavesi)",35611,38698,39867,40425,46359
"86550  Mieluskylä (Haapavesi)",44879,45607,47533,48104,50354
"86600  Haapavesi Keskus (Haapavesi)",37754,38934,40715,42568,44050
"86650  Kytökylä-Joutenniva (Haapavesi)",40458,43678,43610,46164,48964
"86680  Vatjusjärvi (Haapavesi)",40571,42175,42201,43345,46102
"86690  Karsikas (Haapavesi)",36812,41905,39245,42426,45650
"86710  Kärsämäki Keskus (Kärsämäki)",37730,39310,40090,41892,44185
"86790  Venetpalo (Kärsämäki)",0,0,0,0,0
"86800  Pyhäsalmi (Pyhäjärvi)",34253,35232,36541,37562,39364
"86810  Pellikkaperä (Pyhäjärvi)",42678,45178,45090,47184,46359
"86850  Hiidenniemi (Pyhäjärvi)",37042,40185,40360,40967,45889
"86870  Vesikoski (Pyhäjärvi)",36785,37355,41061,43213,42759
"86900  Pyhäkumpu (Pyhäjärvi)",39974,40820,41913,43535,43195
"86980  Väliaho (Pyhäjärvi)",...,...,39722,40709,38685
"87100  Kajaani Keskus (Kajaani)",28161,29144,29500,31220,32562
"87150  Purola (Kajaani)",38225,39474,40399,41383,43605
"87200  Teppana (Kajaani)",39235,40559,41259,43205,44529
"87250  Kättö-Kätönlahti (Kajaani)",42241,43887,45788,48209,49897
"87300  Palokangas (Kajaani)",29288,30019,30505,31598,33327
"87400  Petäisenniska (Kajaani)",36094,36469,36871,38627,40238
"87500  Lehtikangas (Kajaani)",41159,42196,44266,48445,48416
"87700  Lohtaja-Kettu (Kajaani)",34272,35111,35985,36971,38540
"87800  Vuoreslahti (Kajaani)",48715,51588,52434,61092,59428
"87830  Nakertaja (Kajaani)",43311,44608,46740,49463,51051
"87850  Paltaniemi (Kajaani)",52619,57108,55994,61594,59520
"87900  Kajaani (Kajaani)",46359,48773,51101,54698,54852
"87910  Linnantaus (Kajaani)",52352,54241,54139,55993,57833
"87930  Salmijärvi (Kajaani)",48024,50505,50230,52127,54626
"87950  Kuluntalahti (Kajaani)",58967,58752,59269,61920,65809
"87970  Jormua (Kajaani)",47960,48333,48139,51131,54088
"88120  Tuhkakylä (Sotkamo)",40182,39832,44323,51974,52336
"88200  Otanmäki-Kytökoski (Kajaani)",31802,31421,34537,37931,40986
"88270  Vuolijoki Keskus (Kajaani)",40260,39959,41238,42565,45057
"88300  Paltamo Keskus (Paltamo)",36316,37193,37605,40990,42217
"88310  Melalahti (Paltamo)",37153,39871,39198,41904,42937
"88340  Manamansalo (Vaala)",37650,36184,33748,38154,41162
"88350  Kivesjärvi (Paltamo)",35592,36337,36916,37240,40517
"88380  Mieslahti (Paltamo)",42099,43361,43932,43763,46121
"88400  Ristijärvi Keskus-Hiisijärvi (Ristijärvi)",36221,37884,38582,41365,43052
"88440  Jokikylä (Ristijärvi)",36398,34798,39753,44438,50784
"88460  Hiisijärvi (Ristijärvi)",...,...,...,...,...
"88470  Kontiomäki (Paltamo)",33885,35261,36690,37658,39656
"88490  Pohjavaara (Sotkamo)",46174,47666,50656,51988,55366
"88530  Paakki (Sotkamo)",41233,46148,49912,55101,55124
"88600  Sotkamo Keskus (Sotkamo)",39345,41377,42744,44035,46066
"88610  Vuokatti (Sotkamo)",43627,45112,48917,49423,50638
"88615  Vuokatin Urheiluopisto (Sotkamo)",0,0,...,...,...
"88620  Korholanmäki (Sotkamo)",53709,53253,55683,59415,62544
"88640  Ontojoki (Sotkamo)",38028,42716,47521,43698,42735
"88670  Juurikkalahti-Maanselkä (Sotkamo)",46994,50413,52801,53711,57551
"88690  Maanselkä (Sotkamo)",...,...,...,...,...
"88730  Ylä-Vieksi (Kuhmo)",35968,35739,36093,38123,38138
"88740  Härmänkylä-Iivantiira (Kuhmo)",36123,...,40237,...,...
"88760  Iivantiira (Kuhmo)",36760,38501,38911,43936,44175
"88900  Kuhmo Keskus (Kuhmo)",34066,35269,36772,38257,38655
"88930  Lentiira-Kuumu (Kuhmo)",33725,34125,35130,37610,39697
"88940  Kuumu (Kuhmo)",...,...,...,...,...
"89110  Törmänmäki (Puolanka)",...,...,...,...,...
"89140  Kotila-Törmänmäki (Puolanka)",38568,34270,33621,34608,39497
"89200  Puolanka Keskus (Puolanka)",32197,33390,34437,35889,37092
"89210  Puokiovaara (Puolanka)",38605,...,...,...,...
"89320  Joukokylä (Puolanka)",32031,33865,33341,35560,36799
"89330  Suolijärvi (Puolanka)",31783,36369,44853,41114,...
"89400  Hyrynsalmi Keskus (Hyrynsalmi)",33361,34392,35969,37912,39431
"89430  Hoikka (Hyrynsalmi)",...,...,...,...,...
"89440  Sakara (Suomussalmi)",40705,39495,40437,43043,43439
"89540  Moisiovaara (Hyrynsalmi)",31983,32414,32957,34191,35288
"89560  Karhuvaara (Hyrynsalmi)",34837,33967,35085,38170,39911
"89600  Ämmänsaari (Suomussalmi)",33811,34773,35276,37058,38107
"89610  Jumaliskylä (Suomussalmi)",...,...,...,...,...
"89640  Pesiökylä (Suomussalmi)",35426,36341,38364,42515,43560
"89660  Takalo (Suomussalmi)",31454,33543,34244,35449,35625
"89670  Näljänkä (Suomussalmi)",32745,33049,32787,34833,33093
"89680  Vaaranniva (Suomussalmi)",31368,31878,32856,35296,35044
"89730  Ahjola (Suomussalmi)",...,...,...,...,...
"89740  Kianta (Suomussalmi)",...,...,...,...,...
"89760  Piispajärvi-Peranka-Kaikkoinen (Suomussalmi)",33112,33841,33096,35442,40104
"89770  Peranka (Suomussalmi)",...,...,...,...,...
"89780  Kaikkonen (Suomussalmi)",34217,...,...,...,...
"89800  Suomussalmi Keskus (Suomussalmi)",39538,38473,40474,42038,43412
"89830  Ala-Vuokki (Suomussalmi)",...,...,...,...,...
"89840  Yli-Vuokki (Suomussalmi)",31525,26671,29221,31074,...
"89920  Ruhtinansalmi (Suomussalmi)",36211,36214,39046,38993,41418
"90100  Oulu Keskus (Oulu)",33382,34638,35231,35474,37884
"90120  Heinäpää (Oulu)",28723,29355,30341,31817,32837
"90130  Raksila (Oulu)",32195,34694,34127,35063,35683
"90140  Karjasilta (Oulu)",38369,39604,38533,40568,41281
"90150  Höyhtyä (Oulu)",37193,37329,38079,40174,40899
"90220  Kontinkangas (Oulu)",21612,22158,23034,24592,25283
"90230  Värttö-Maikkula (Oulu)",48201,48769,49562,54762,53334
"90240  Iinatti (Oulu)",44512,45253,47726,48496,50483
"90250  Kaukovainio (Oulu)",28271,29265,30303,31269,32286
"90310  Madekoski (Oulu)",58074,58637,59692,62989,65109
"90400  Äimärautio (Oulu)",28531,30394,30789,32503,33538
"90410  Kaakkuri (Oulu)",55762,55237,58170,56410,59095
"90420  Metsokangas (Oulu)",47496,49707,51441,53731,54551
"90440  Kempele Keskus (Kempele)",45975,46753,46709,47508,49729
"90450  Honkanen (Kempele)",54687,58019,59245,63599,65444
"90460  Oulunsalo Keskus (Oulu)",49962,52068,53215,54034,55798
"90470  Varjakka (Oulu)",53750,57153,57927,61401,61920
"90480  Hailuoto (Hailuoto)",40613,42334,42857,43949,47648
"90500  Tuira (Oulu)",28095,29018,30078,31491,32455
"90510  Hietasaari (Oulu)",41034,44246,42420,44224,45398
"90520  Taskila-Toppila (Oulu)",29597,30488,30573,32079,33548
"90530  Välivainio (Oulu)",30024,30344,31262,32359,33791
"90540  Kuivasjärvi (Oulu)",54605,55704,58080,61012,63408
"90550  Pyykösjärvi-Puolivälinkangas (Oulu)",34165,34512,35181,36488,38432
"90560  Koskela-Oulu (Oulu)",34247,35327,35948,38028,39829
"90570  Kaijonharju-Linnanmaa (Oulu)",26268,27015,27536,29560,30139
"90580  Rajakylä (Oulu)",35251,36318,36555,38307,39425
"90590  Teknologiakylä (Oulu)",...,...,15155,14010,13386
"90600  Oulun rahtiterminaali (Oulu)",0,0,0,0,0
"90620  Rusko-Heikinharju (Oulu)",42516,44246,45718,48381,49668
"90630  Korvensuora (Oulu)",48127,49999,51102,53615,55775
"90650  Haapalehto (Oulu)",46595,48456,50001,50947,53845
"90660  Sanginsuu (Oulu)",54476,58239,68179,61198,64005
"90670  Hiukkavaara (Oulu)",54111,57551,57274,60378,63002
"90800  Pateniemi (Oulu)",48696,51800,52414,53785,55910
"90810  Kiviniemi (Oulu)",53325,61644,54875,60487,59634
"90820  Kello (Oulu)",50040,54369,53744,56293,58823
"90830  Haukipudas Keskus (Oulu)",43105,44248,46850,47985,49925
"90840  Haukipudas Asemanseutu (Oulu)",49753,51460,53645,55119,58385
"90850  Martinniemi (Oulu)",42306,43133,45909,46490,48480
"90860  Halosenniemi (Oulu)",48782,49814,52073,53163,54923
"90900  Kiiminki Keskus (Oulu)",49124,49144,52013,52818,54989
"90910  Kontio (Oulu)",58116,60068,62816,64234,67291
"90940  Jääli (Oulu)",50165,54474,52002,54665,55619
"91100  Ii Keskus (Ii)",44578,45589,47300,49505,50652
"91110  Ii Asemanseutu (Ii)",49301,51845,53207,54422,58288
"91140  Olhava (Ii)",38169,38183,43321,41182,42315
"91150  Yli-Olhava (Ii)",35171,35739,37232,35565,37254
"91200  Yli-Ii Keskus (Oulu)",41367,41247,43975,45199,46733
"91210  Jakkukylä (Ii)",47971,51424,52808,56544,58863
"91240  Tannila (Oulu)",37709,38138,40680,42824,45198
"91260  Pahkakoski - Räinä (Oulu)",35577,32362,34901,37262,39936
"91300  Ylikiiminki Keskus (Oulu)",42334,47453,45454,47656,49621
"91310  Arkala (Oulu)",41302,42470,45828,47156,48416
"91410  Jokirinne (Muhos)",51833,59923,53810,68819,57601
"91430  Leppiniemi (Muhos)",40559,38489,41045,41139,42289
"91500  Muhos Keskus (Muhos)",42747,42395,43141,44734,47266
"91510  Rova (Muhos)",51150,52035,54146,57139,59152
"91560  Kylmälänkylä (Muhos)",37583,38838,40600,42866,42004
"91600  Utajärvi Keskus (Utajärvi)",36970,37716,38973,40280,41952
"91620  Sanginkylä (Utajärvi)",40458,43200,41230,44133,45418
"91630  Juorkuna (Utajärvi)",28919,29451,33372,30284,29309
"91640  Särkijärvi (Utajärvi)",36884,38765,40717,40425,38116
"91660  Ahmas (Utajärvi)",38103,39959,40480,43085,43523
"91670  Rokua (Utajärvi)",...,...,...,...,...
"91700  Vaala Keskus - Oterma (Vaala)",30973,32395,32187,33919,35612
"91710  Jylhämä (Vaala)",26651,...,...,31847,...
"91720  Oterma (Vaala)",32206,33616,34532,34140,35810
"91730  Kankari (Vaala)",38481,38747,41298,41385,43416
"91740  Jaalanka - Liminpuro (Vaala)",31714,32669,37004,34092,35761
"91750  Liminpuro (Vaala)",...,...,...,...,...
"91760  Säräisniemi (Vaala)",36786,39321,43118,43734,43869
"91780  Neittävä (Vaala)",36803,35958,41310,40014,45967
"91790  Nuojua (Vaala)",42675,41154,41665,43250,42738
"91800  Tyrnävä (Tyrnävä)",47027,48594,50299,51544,53548
"91900  Liminka Keskus (Liminka)",48700,50456,52213,53353,55714
"91910  Tupos (Liminka)",62363,63696,63877,65907,69796
"91930  Ala-Temmes (Liminka)",50636,53699,55732,57089,58967
