"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"09120  Karjalohja (Lohja)",114,114,114,116,121
"09220  Sammatti (Lohja)",117,119,115,107,93
"09430  Saukkola (Lohja)",136,138,131,133,131
"09520  Millola (Lohja)",3,4,5,2,4
"09630  Koisjärvi (Lohja)",16,16,18,17,16
"09810  Nummi-Oinola (Lohja)",81,81,80,70,78
"09930  Leppäkorpi (Lohja)",13,16,13,12,8
"10120  Tähtelä (Ingå)",15,14,14,10,10
"10140  Päivölä (Ingå)",0,2,1,3,6
"10160  Degerby (Ingå)",19,18,21,21,23
"10210  Inkoo Keskus (Ingå)",286,283,286,296,287
"10230  Inkoo Asemanseutu (Ingå)",15,12,14,14,16
"10250  Fagervik (Ingå)",10,11,7,7,6
"10270  Barösund (Ingå)",4,4,4,5,4
"10300  Karjaa Keskus (Raseborg)",1097,1112,1108,1123,1105
"10320  Bäljars (Raseborg)",190,203,205,213,205
"10330  Pinjainen (Raseborg)",90,85,77,58,57
"10350  Meltolan sairaala-alue (Raseborg)",...,...,...,...,...
"10360  Mustio (Raseborg)",93,95,90,85,86
"10380  Kaunislahti (Raseborg)",6,6,4,3,4
"10410  Åminnefors (Raseborg)",43,38,35,31,29
"10420  Pohjankuru (Raseborg)",253,264,263,260,258
"10440  Bollsta (Raseborg)",18,18,16,19,17
"10470  Fiskari (Raseborg)",93,92,86,80,86
"10480  Antskog (Raseborg)",5,7,7,11,13
"10520  Tenhola Kirkonkylä (Raseborg)",157,144,154,139,137
"10570  Bromarv (Raseborg)",56,52,47,41,39
"10600  Tammisaari Keskus (Raseborg)",981,1012,1025,998,984
"10620  Tammisaari (Raseborg)",142,141,140,142,141
"10640  Dragsvik (Raseborg)",71,82,74,80,75
"10650  Flyet (Raseborg)",439,469,458,459,452
"10660  Trollböle (Raseborg)",110,110,118,126,126
"10680  Skogby (Raseborg)",15,13,12,12,10
"10710  Snappertuna (Raseborg)",26,26,28,26,27
"10820  Lappohja (Hanko)",40,38,40,50,49
"10900  Hanko Keskus (Hanko)",848,856,836,826,848
"10940  Hangonkylä (Hanko)",92,84,69,73,75
"10960  Hanko Pohjoinen (Hanko)",130,126,115,127,123
"11100  Riihimäki Keskus (Riihimäki)",1836,1943,1986,1962,2007
"11120  Pohjois-Riihimäki (Riihimäki)",946,968,935,935,927
"11130  Peltosaari-Patastenmäki (Riihimäki)",1673,1686,1669,1752,1787
"11310  Taka-Kasarmi (Riihimäki)",62,61,57,53,54
"11710  Herajoki (Riihimäki)",394,418,400,412,406
"11910  Lasi-Kumela (Riihimäki)",356,372,365,362,351
"12100  Oitti (Hausjärvi)",300,334,330,346,339
"12130  Mommila (Hausjärvi)",5,7,9,8,7
"12170  Hietoinen (Hausjärvi)",5,5,4,4,4
"12210  Hausjärvi kk (Hausjärvi)",7,4,7,4,5
"12240  Hikiä (Hausjärvi)",82,88,79,74,78
"12310  Ryttylä (Hausjärvi)",172,179,176,174,176
"12350  Turkhauta (Hausjärvi)",9,7,10,7,7
"12380  Leppäkoski (Janakkala)",28,31,25,33,29
"12400  Tervakoski (Janakkala)",426,440,447,434,409
"12450  Vähikkälä (Janakkala)",6,10,3,3,4
"12520  Kormu (Loppi)",9,10,9,7,5
"12540  Launonen (Loppi)",54,53,50,55,50
"12600  Läyliäinen (Loppi)",80,82,75,69,66
