"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"78900  Ruokokoski (Varkaus)",3,3,2,1,1
"79100  Leppävirta Keskus (Leppävirta)",753,818,786,771,766
"79130  Sorsakoski (Leppävirta)",66,52,58,51,50
"79140  Kotalahti (Leppävirta)",6,8,6,6,5
"79150  Konnuslahti-Valkeamäki (Leppävirta)",8,7,8,7,8
"79160  Saamaiskylä (Leppävirta)",1,0,0,1,0
"79180  Tuppurinmäki (Leppävirta)",...,...,...,...,...
"79190  Valkeamäki (Leppävirta)",...,...,...,...,...
"79230  Moninmäki (Leppävirta)",...,...,...,...,...
"79255  Kurjala-Moninmäki (Leppävirta)",2,3,0,6,9
"79265  Puponmäki (Leppävirta)",2,3,1,1,1
"79330  Näädänmaa (Leppävirta)",9,3,3,4,3
"79350  Itä-Soisalo (Leppävirta)",1,2,1,2,2
"79410  Niinimäki (Leppävirta)",7,5,6,7,6
"79480  Kangaslampi Keskus (Varkaus)",70,67,58,53,53
"79520  Viljolahti (Varkaus)",2,2,2,2,2
"79600  Joroinen Keskus (Joroinen)",376,377,364,386,391
"79620  Huutokoski (Joroinen)",7,9,8,8,8
"79630  Kolma (Joroinen)",4,5,4,4,4
"79660  Kerisalo (Joroinen)",4,5,3,3,2
"79680  Lahnalahti (Joroinen)",3,4,3,3,2
"79690  Kaitainen (Joroinen)",3,5,5,4,3
"79700  Heinävesi Keskus (Heinävesi)",289,292,267,283,285
"79810  Karvion kanava (Heinävesi)",23,21,16,15,20
"79820  Varistaipale (Heinävesi)",4,2,2,3,3
"79830  Palokki (Heinävesi)",...,...,...,...,...
"79850  Uusi-Valamo (Heinävesi)",0,0,0,0,0
"79860  Suuraho - Uusi-Valamo (Heinävesi)",28,29,32,27,23
"79885  Etelä-Petruma (Heinävesi)",2,3,2,2,...
"79895  Sarvikumpu (Heinävesi)",1,2,0,0,0
"79910  Kerma (Heinävesi)",13,11,9,9,7
"79940  Vihtari-Poikiinaho (Heinävesi)",4,4,6,3,2
"80100  Joensuu Keskus, Pohjoinen (Joensuu)",4001,4158,4299,4465,4492
"80110  Joensuu Keskus Eteläinen (Joensuu)",1717,1781,1814,1822,1837
"80130  Kanervala (Joensuu)",564,672,759,905,923
"80140  Noljakka (Joensuu)",2394,2534,2508,2529,2515
"80160  Rantakylä-Latola (Joensuu)",2488,2546,2504,2545,2589
"80170  Utra (Joensuu)",770,764,723,748,764
"80200  Niinivaara (Joensuu)",1612,1684,1679,1716,1733
"80210  Sairaala-alue (Joensuu)",0,0,...,0,0
"80220  Penttilä (Joensuu)",1734,1767,1773,1815,1882
"80230  Hukanhauta (Joensuu)",711,749,723,754,747
"80260  Kettuvaara (Joensuu)",927,931,913,929,912
"80330  Reijola (Joensuu)",197,203,217,215,227
"80400  Ylämylly (Liperi)",637,661,622,628,621
"80510  Onttola-Kunnasniemi (Kontiolahti)",42,42,38,43,40
"80710  Lehmo (Kontiolahti)",381,416,417,428,416
"80770  Kontiolahti as (Kontiolahti)",37,32,30,34,32
"80780  Kontioniemi (Kontiolahti)",43,41,35,27,23
"80790  Kontioranta-Kontioniemi (Kontiolahti)",22,24,24,23,25
"80850  Paihola (Kontiolahti)",98,97,106,106,103
"80910  Kulho (Kontiolahti)",19,19,17,16,13
"81100  Kontiolahti (Kontiolahti)",395,423,394,410,408
"81120  Katajaranta (Kontiolahti)",11,11,10,9,6
"81160  Romppala-Riihikangas (Kontiolahti)",11,7,10,10,9
"81200  Eno Keskus (Joensuu)",393,377,391,376,359
"81210  Louhioja (Joensuu)",11,14,15,13,15
"81220  Jakokoski (Kontiolahti)",17,19,19,16,16
"81230  Mönni (Kontiolahti)",11,7,8,7,8
"81235  Lehtoi (Kontiolahti)",4,3,4,4,5
"81260  Ahveninen (Joensuu)",3,3,3,3,3
"81270  Paukkaja (Joensuu)",3,4,2,3,3
"81280  Uimaharju (Joensuu)",191,188,188,171,167
"81290  Ukkola (Joensuu)",17,14,15,15,16
"81295  Haapalahti (Joensuu)",2,3,2,3,3
"81320  Kuismavaara (Joensuu)",...,...,...,...,...
"81330  Luhtapohja (Joensuu)",0,1,1,0,0
"81350  Tokrajärvi (Ilomantsi)",2,1,2,4,6
"81360  Sarvinki (Joensuu)",2,4,1,3,4
"81390  Revonkylä (Joensuu)",1,1,1,1,2
"81420  Tyrjänsaari (Ilomantsi)",4,4,4,4,3
"81430  Kivilahti (Ilomantsi)",3,3,3,2,2
"81450  Huhus-Käenkoski (Ilomantsi)",1,0,2,1,1
"81460  Käenkoski (Ilomantsi)",...,...,...,...,...
"81470  Naarva (Ilomantsi)",...,...,...,...,...
"81560  Vuonisjärvi (Lieksa)",4,2,4,4,4
"81570  Kelvä (Lieksa)",3,3,3,2,2
"81590  Vuonislahti (Lieksa)",10,11,10,9,10
"81650  Hattuvaara (Lieksa)",6,4,3,2,2
"81660  Lehmikylä (Lieksa)",...,...,...,...,...
"81700  Lieksa Keskus (Lieksa)",1042,1054,1012,1001,984
"81720  Mähkö-Timitra (Lieksa)",366,363,345,329,315
"81750  Pankakoski (Lieksa)",45,45,37,40,45
"81810  Jamali (Lieksa)",8,6,5,4,4
"81820  Kylänlahti (Lieksa)",9,14,10,11,6
"81850  Mätäsvaara (Lieksa)",7,5,7,7,4
"81860  Viekijärvi (Lieksa)",16,17,14,12,12
"81950  Pankajärvi (Lieksa)",0,1,0,0,0
"81970  Jongunjoki-Pankajärvi (Lieksa)",11,9,11,11,13
"82110  Heinävaara (Joensuu)",69,67,68,67,66
"82120  Keskijärvi (Joensuu)",7,8,6,5,3
"82140  Kiihtelysvaara Keskus (Joensuu)",83,86,81,84,87
"82160  Oskola (Joensuu)",3,3,...,...,...
"82170  Uskali (Joensuu)",...,...,...,...,...
"82180  Huhtilampi (Joensuu)",6,5,4,5,2
"82200  Hammaslahti (Joensuu)",297,297,295,297,288
"82210  Suhmura (Joensuu)",17,21,21,18,15
"82220  Niittylahti (Joensuu)",71,69,61,66,66
"82290  Nieminen (Rääkkylä)",23,21,15,18,17
"82300  Rääkkylä Keskus (Rääkkylä)",164,173,167,161,167
"82310  Oravisalo-Varpasalo (Rääkkylä)",16,16,13,12,11
"82335  Rasivaara (Rääkkylä)",26,25,20,18,17
"82350  Tikkala (Tohmajärvi)",6,7,5,6,6
"82360  Onkamo (Tohmajärvi)",21,23,17,18,15
"82380  Tolosenmäki (Kitee)",7,8,5,6,5
"82395  Haarajärvi (Kitee)",2,1,1,2,3
"82430  Puhos-Leinovaara (Kitee)",58,53,53,48,43
"82460  Hummovaara (Kitee)",7,5,7,6,5
"82490  Heinoniemi (Kitee)",2,0,3,2,4
"82500  Kitee Keskus (Kitee)",935,972,948,972,941
"82510  Kiteenlahti (Kitee)",3,3,2,3,1
"82580  Juurikka (Kitee)",7,7,5,5,7
"82590  Närsäkkälä (Kitee)",5,3,3,3,5
"82600  Tohmajärvi Keskus (Tohmajärvi)",354,363,344,337,324
"82655  Värtsilä Keskus (Tohmajärvi)",26,20,20,19,15
"82660  Uusi-Värtsilä (Tohmajärvi)",14,10,11,13,14
"82670  Kaurila (Tohmajärvi)",2,3,1,1,0
"82675  Niirala-Jänisjoki (Tohmajärvi)",15,17,14,15,14
"82685  Littilä (Tohmajärvi)",6,6,7,6,6
"82710  Kovero (Joensuu)",16,16,15,15,13
"82730  Tuupovaara Keskus-Pirttiaho (Joensuu)",156,160,156,144,137
"82750  Öllölä (Joensuu)",6,6,4,4,3
"82760  Hoilola (Joensuu)",5,5,5,6,5
"82770  Kaustajärvi (Tohmajärvi)",...,...,...,...,...
"82815  Marjovaara (Joensuu)",1,1,1,1,3
"82820  Maukkula (Ilomantsi)",6,6,4,5,5
"82830  Haukivaara (Ilomantsi)",2,2,2,2,1
"82840  Pirttiaho (Joensuu)",...,...,...,...,...
"82850  Kinnasniemi (Joensuu)",1,1,1,1,1
"82865  Kokinvaara-Mannervaara (Joensuu)",...,...,...,...,...
"82870  Luutalahti (Joensuu)",...,...,...,...,...
"82880  Mannervaara (Joensuu)",...,...,...,...,...
"82900  Ilomantsi Keskus (Ilomantsi)",520,517,474,469,506
"82915  Sonkaja (Ilomantsi)",2,4,2,2,2
"82960  Lehtovaara-Kuikkalampi (Ilomantsi)",4,2,3,3,2
"82967  Hattu (Ilomantsi)",5,5,3,3,3
"82980  Möhkö (Ilomantsi)",1,0,0,0,0
"83100  Liperi Keskus (Liperi)",321,344,345,355,356
"83130  Salokylä (Liperi)",5,6,4,3,4
"83140  Puromäki (Liperi)",1,3,1,1,1
"83150  Roukalahti (Liperi)",8,9,9,8,7
"83160  Tutjunniemi (Liperi)",8,9,8,8,8
"83320  Risti-Juojärvi (Liperi)",3,2,2,2,4
"83330  Kaatamo (Liperi)",4,6,6,4,5
"83340  Kaarnalampi (Liperi)",1,1,1,1,2
"83400  Viinijärvi (Liperi)",158,163,162,171,166
"83430  Käsämä (Liperi)",10,11,9,10,8
"83450  Vaivio (Liperi)",11,11,9,6,5
"83460  Harinjärvi (Liperi)",3,3,2,1,1
"83480  Ahonkylä (Liperi)",9,8,7,6,6
"83500  Outokumpu Keskus (Outokumpu)",1010,1029,1027,1028,1018
"83550  Kokonvaara (Outokumpu)",1,5,4,5,4
"83630  Kuusjärvi (Outokumpu)",17,18,16,17,17
"83660  Varislahti (Outokumpu)",5,6,3,5,4
"83700  Polvijärvi Keskus (Polvijärvi)",320,323,306,317,298
"83720  Kuorevaara (Polvijärvi)",10,13,9,10,12
"83750  Sotkuma (Polvijärvi)",14,14,12,9,9
"83760  Sola (Polvijärvi)",4,6,5,5,5
"83780  Horsmanaho (Polvijärvi)",5,3,2,2,1
"83825  Kinahmo (Polvijärvi)",10,11,7,7,4
"83830  Hukkala (Polvijärvi)",3,2,1,2,2
"83835  Ruvaslahti (Polvijärvi)",11,10,8,5,3
"83840  Saarivaara (Polvijärvi)",...,...,...,...,...
"83855  Martonvaara-Sammakkovaara (Polvijärvi)",6,7,5,5,2
"83870  Polvela-Timovaara (Juuka)",6,5,4,3,2
"83880  Kajoo (Juuka)",6,8,4,4,3
"83900  Juuka Keskus (Juuka)",459,471,457,484,452
"83910  Paalasmaa (Juuka)",4,3,4,3,2
"83915  Vihtasuo (Juuka)",...,...,...,...,...
"83940  Nunnanlahti (Juuka)",11,13,12,12,9
"83950  Ahmovaara (Juuka)",30,33,30,26,21
"83960  Koli (Lieksa)",28,24,20,25,28
"83985  Tuopanjoki (Juuka)",...,...,...,...,...
"84100  Ylivieska Keskus (Ylivieska)",1991,2059,1994,2051,2027
"84460  Tuomiperä (Ylivieska)",3,4,5,4,5
"84540  Vähäkangas (Ylivieska)",5,4,5,4,5
"84650  Kantokylä (Ylivieska)",0,2,0,1,1
"84770  Isokoski (Ylivieska)",2,4,1,1,3
"84880  Raudaskylä (Ylivieska)",24,28,27,24,22
"85100  Kalajoki Keskus (Kalajoki)",693,760,739,727,736
"85120  Metsä (Kalajoki)",7,7,9,5,3
"85140  Tynkä (Kalajoki)",22,19,18,13,8
"85150  Typpö (Kalajoki)",6,5,4,3,4
"85160  Rautio (Kalajoki)",20,21,17,19,17
"85180  Rahja (Kalajoki)",11,13,11,10,10
"85200  Alavieska Keskus (Alavieska)",210,215,209,207,207
"85210  Kähtävä (Alavieska)",1,1,2,1,1
"85230  Talus (Alavieska)",5,4,4,4,5
"85310  Sievi Asemanseutu (Sievi)",32,32,34,36,32
"85320  Markkula (Sievi)",18,20,18,13,19
"85340  Jyrinki (Sievi)",2,3,3,3,4
"85410  Sievi Keskus (Sievi)",293,297,295,305,281
"85430  Koivisto (Sievi)",9,12,12,10,6
"85450  Joenkylä (Sievi)",7,5,7,7,8
"85470  Kiiskilampi (Sievi)",10,12,12,9,7
"85500  Nivala Keskus (Nivala)",840,894,900,948,932
"85540  Mönkö (Nivala)",6,7,5,5,5
"85560  Ainastalo (Nivala)",25,21,25,19,16
"85580  Karvoskylä (Nivala)",10,11,8,8,9
"85620  Sarja (Nivala)",1,2,3,3,2
"85630  Sarjanahde (Nivala)",3,5,4,6,6
"85640  Maliskylä (Nivala)",12,12,9,9,6
"85660  Ruuskankylä (Nivala)",6,3,4,5,3
"85710  Parkkila (Haapajärvi)",9,8,8,8,5
"85730  Tulppo (Haapajärvi)",4,3,2,2,3
"85800  Haapajärvi Keskus (Haapajärvi)",736,734,714,690,695
"85820  Oksava (Haapajärvi)",14,12,11,14,14
"85840  Kuona (Haapajärvi)",6,6,6,5,3
"85900  Reisjärvi Keskus (Reisjärvi)",238,236,229,226,203
"85930  Kangaskylä-Tolpankangas (Reisjärvi)",2,2,1,1,2
"85940  Räisälänmäki (Reisjärvi)",1,1,1,1,1
"85980  Köyhänperä (Reisjärvi)",4,3,3,3,3
"86100  Pyhäjoki Keskus (Pyhäjoki)",196,228,212,228,229
"86110  Parhalahti (Pyhäjoki)",17,11,16,13,11
"86160  Pirttikoski (Pyhäjoki)",3,8,4,5,4
"86170  Yppäri (Pyhäjoki)",15,17,16,15,13
"86210  Petäjäskoski (Oulainen)",0,0,0,0,0
"86220  Merijärvi Keskus (Merijärvi)",80,74,76,78,81
"86230  Ylipää (Merijärvi)",5,5,4,3,4
"86240  Pyhänkoski (Merijärvi)",5,8,6,4,7
"86300  Oulainen Keskus (Oulainen)",741,809,811,826,815
"86350  Kilpua (Oulainen)",5,3,2,3,3
"86360  Ilveskorpi (Raahe)",9,8,6,9,8
"86400  Vihanti Keskus (Raahe)",157,160,154,153,148
"86440  Lampinsaari (Raahe)",9,12,12,11,11
"86460  Alpua (Raahe)",8,8,8,6,7
"86470  Lumimetsä (Raahe)",1,0,0,1,2
"86480  Karhukangas (Haapavesi)",...,...,...,...,...
"86510  Matkaniva (Oulainen)",5,6,6,6,9
"86530  Annonen (Haapavesi)",1,3,2,1,3
"86550  Mieluskylä (Haapavesi)",8,10,6,4,5
"86600  Haapavesi Keskus (Haapavesi)",588,619,612,603,582
"86650  Kytökylä-Joutenniva (Haapavesi)",12,12,10,11,13
"86680  Vatjusjärvi (Haapavesi)",3,6,4,4,1
"86690  Karsikas (Haapavesi)",1,2,3,2,2
"86710  Kärsämäki Keskus (Kärsämäki)",271,274,259,260,254
"86790  Venetpalo (Kärsämäki)",0,0,0,0,0
"86800  Pyhäsalmi (Pyhäjärvi)",531,535,520,529,522
"86810  Pellikkaperä (Pyhäjärvi)",5,5,4,3,3
"86850  Hiidenniemi (Pyhäjärvi)",3,5,2,0,0
"86870  Vesikoski (Pyhäjärvi)",15,12,10,11,14
"86900  Pyhäkumpu (Pyhäjärvi)",33,37,32,30,31
"86980  Väliaho (Pyhäjärvi)",...,...,0,0,0
"87100  Kajaani Keskus (Kajaani)",2173,2213,2227,2318,2307
"87150  Purola (Kajaani)",268,281,270,294,286
"87200  Teppana (Kajaani)",646,676,665,662,667
"87250  Kättö-Kätönlahti (Kajaani)",478,484,469,461,441
"87300  Palokangas (Kajaani)",325,350,347,364,370
"87400  Petäisenniska (Kajaani)",226,261,273,271,262
"87500  Lehtikangas (Kajaani)",694,739,737,739,761
"87700  Lohtaja-Kettu (Kajaani)",1010,1059,1040,1077,1067
"87800  Vuoreslahti (Kajaani)",13,8,11,10,8
"87830  Nakertaja (Kajaani)",151,151,148,144,137
"87850  Paltaniemi (Kajaani)",12,10,12,12,13
"87900  Kajaani (Kajaani)",5,4,6,6,7
"87910  Linnantaus (Kajaani)",11,12,12,12,11
"87930  Salmijärvi (Kajaani)",4,4,3,2,2
"87950  Kuluntalahti (Kajaani)",7,5,8,9,7
"87970  Jormua (Kajaani)",4,4,3,4,5
"88120  Tuhkakylä (Sotkamo)",0,0,0,0,1
"88200  Otanmäki-Kytökoski (Kajaani)",126,145,158,159,172
"88270  Vuolijoki Keskus (Kajaani)",83,77,71,76,68
"88300  Paltamo Keskus (Paltamo)",324,339,320,313,311
"88310  Melalahti (Paltamo)",3,2,3,2,2
"88340  Manamansalo (Vaala)",4,4,2,1,1
"88350  Kivesjärvi (Paltamo)",2,1,3,1,1
"88380  Mieslahti (Paltamo)",4,4,2,3,5
"88400  Ristijärvi Keskus-Hiisijärvi (Ristijärvi)",136,128,124,114,114
"88440  Jokikylä (Ristijärvi)",4,6,3,3,4
"88460  Hiisijärvi (Ristijärvi)",...,...,...,...,...
"88470  Kontiomäki (Paltamo)",80,85,74,79,74
"88490  Pohjavaara (Sotkamo)",3,3,3,3,3
"88530  Paakki (Sotkamo)",2,2,2,2,2
"88600  Sotkamo Keskus (Sotkamo)",824,886,860,876,851
"88610  Vuokatti (Sotkamo)",347,348,339,375,363
"88615  Vuokatin Urheiluopisto (Sotkamo)",0,0,...,...,...
"88620  Korholanmäki (Sotkamo)",6,3,3,2,2
"88640  Ontojoki (Sotkamo)",2,3,3,3,4
"88670  Juurikkalahti-Maanselkä (Sotkamo)",2,4,0,0,0
"88690  Maanselkä (Sotkamo)",...,...,...,...,...
"88730  Ylä-Vieksi (Kuhmo)",7,5,3,3,4
"88740  Härmänkylä-Iivantiira (Kuhmo)",2,...,2,...,...
"88760  Iivantiira (Kuhmo)",4,5,3,3,2
"88900  Kuhmo Keskus (Kuhmo)",1008,1027,1014,1002,999
"88930  Lentiira-Kuumu (Kuhmo)",19,19,19,18,13
"88940  Kuumu (Kuhmo)",...,...,...,...,...
"89110  Törmänmäki (Puolanka)",...,...,...,...,...
"89140  Kotila-Törmänmäki (Puolanka)",3,4,5,4,5
"89200  Puolanka Keskus (Puolanka)",299,308,302,303,307
"89210  Puokiovaara (Puolanka)",3,...,...,...,...
"89320  Joukokylä (Puolanka)",2,6,6,4,5
"89330  Suolijärvi (Puolanka)",2,1,1,1,...
"89400  Hyrynsalmi Keskus (Hyrynsalmi)",204,192,202,187,178
"89430  Hoikka (Hyrynsalmi)",...,...,...,...,...
"89440  Sakara (Suomussalmi)",2,1,3,2,2
"89540  Moisiovaara (Hyrynsalmi)",1,4,1,2,2
"89560  Karhuvaara (Hyrynsalmi)",0,0,0,0,0
"89600  Ämmänsaari (Suomussalmi)",801,804,807,784,752
"89610  Jumaliskylä (Suomussalmi)",...,...,...,...,...
"89640  Pesiökylä (Suomussalmi)",10,9,5,6,5
"89660  Takalo (Suomussalmi)",6,4,7,5,5
"89670  Näljänkä (Suomussalmi)",2,3,3,3,2
"89680  Vaaranniva (Suomussalmi)",7,5,5,5,6
"89730  Ahjola (Suomussalmi)",...,...,...,...,...
"89740  Kianta (Suomussalmi)",...,...,...,...,...
"89760  Piispajärvi-Peranka-Kaikkoinen (Suomussalmi)",6,6,7,6,5
"89770  Peranka (Suomussalmi)",...,...,...,...,...
"89780  Kaikkonen (Suomussalmi)",0,...,...,...,...
"89800  Suomussalmi Keskus (Suomussalmi)",105,109,100,105,107
"89830  Ala-Vuokki (Suomussalmi)",...,...,...,...,...
"89840  Yli-Vuokki (Suomussalmi)",0,0,1,0,...
"89920  Ruhtinansalmi (Suomussalmi)",15,12,11,9,10
"90100  Oulu Keskus (Oulu)",4193,4542,4737,5020,5016
"90120  Heinäpää (Oulu)",3245,3370,3390,3424,3394
"90130  Raksila (Oulu)",2396,2444,2447,2464,2719
"90140  Karjasilta (Oulu)",868,900,1062,1276,1246
"90150  Höyhtyä (Oulu)",1314,1350,1470,1522,1512
"90220  Kontinkangas (Oulu)",458,535,536,592,641
"90230  Värttö-Maikkula (Oulu)",1509,1601,1586,1564,1552
"90240  Iinatti (Oulu)",1035,1049,1038,1045,1034
"90250  Kaukovainio (Oulu)",2699,2829,2864,2859,2878
"90310  Madekoski (Oulu)",169,163,163,155,161
"90400  Äimärautio (Oulu)",920,949,982,1015,1041
"90410  Kaakkuri (Oulu)",497,479,495,494,487
"90420  Metsokangas (Oulu)",1875,1908,1890,1900,1916
"90440  Kempele Keskus (Kempele)",1226,1236,1267,1307,1312
"90450  Honkanen (Kempele)",402,421,407,418,409
"90460  Oulunsalo Keskus (Oulu)",733,789,735,777,799
"90470  Varjakka (Oulu)",16,18,18,19,19
"90480  Hailuoto (Hailuoto)",75,73,71,74,66
"90500  Tuira (Oulu)",3701,3794,3921,4051,4060
"90510  Hietasaari (Oulu)",562,574,581,584,587
"90520  Taskila-Toppila (Oulu)",3378,3534,3869,4096,4059
"90530  Välivainio (Oulu)",2385,2530,2633,2689,2700
"90540  Kuivasjärvi (Oulu)",1010,1022,1008,979,949
"90550  Pyykösjärvi-Puolivälinkangas (Oulu)",1058,1114,1113,1098,1070
"90560  Koskela-Oulu (Oulu)",682,703,719,725,726
"90570  Kaijonharju-Linnanmaa (Oulu)",3932,4010,4103,4090,4089
"90580  Rajakylä (Oulu)",1036,1072,1081,1068,1104
"90590  Teknologiakylä (Oulu)",...,...,31,45,59
"90600  Oulun rahtiterminaali (Oulu)",0,0,0,0,0
"90620  Rusko-Heikinharju (Oulu)",33,33,35,31,28
"90630  Korvensuora (Oulu)",767,794,798,785,798
"90650  Haapalehto (Oulu)",1574,1595,1566,1566,1564
"90660  Sanginsuu (Oulu)",16,15,13,13,12
"90670  Hiukkavaara (Oulu)",431,440,505,526,551
"90800  Pateniemi (Oulu)",663,693,662,707,832
"90810  Kiviniemi (Oulu)",133,135,130,131,125
"90820  Kello (Oulu)",141,133,129,133,126
"90830  Haukipudas Keskus (Oulu)",1017,1021,995,1007,1030
"90840  Haukipudas Asemanseutu (Oulu)",67,67,71,66,72
"90850  Martinniemi (Oulu)",159,174,176,165,166
"90860  Halosenniemi (Oulu)",5,6,5,7,7
"90900  Kiiminki Keskus (Oulu)",443,444,429,417,424
"90910  Kontio (Oulu)",4,6,8,8,9
"90940  Jääli (Oulu)",309,333,330,343,335
"91100  Ii Keskus (Ii)",508,533,535,543,545
"91110  Ii Asemanseutu (Ii)",22,21,21,21,24
"91140  Olhava (Ii)",17,22,17,16,19
"91150  Yli-Olhava (Ii)",3,4,3,6,4
"91200  Yli-Ii Keskus (Oulu)",98,100,97,99,93
"91210  Jakkukylä (Ii)",2,1,2,2,3
"91240  Tannila (Oulu)",3,6,4,4,5
"91260  Pahkakoski - Räinä (Oulu)",0,6,5,4,2
"91300  Ylikiiminki Keskus (Oulu)",167,164,154,159,154
"91310  Arkala (Oulu)",5,5,6,8,7
"91410  Jokirinne (Muhos)",64,65,64,64,66
"91430  Leppiniemi (Muhos)",17,17,16,17,19
"91500  Muhos Keskus (Muhos)",623,642,651,648,626
"91510  Rova (Muhos)",3,1,6,4,5
"91560  Kylmälänkylä (Muhos)",6,7,6,5,5
"91600  Utajärvi Keskus (Utajärvi)",211,223,216,217,212
"91620  Sanginkylä (Utajärvi)",7,6,5,3,3
"91630  Juorkuna (Utajärvi)",2,1,1,1,1
"91640  Särkijärvi (Utajärvi)",2,1,1,1,1
"91660  Ahmas (Utajärvi)",9,7,7,5,2
"91670  Rokua (Utajärvi)",...,...,...,...,...
"91700  Vaala Keskus - Oterma (Vaala)",292,270,274,263,269
"91710  Jylhämä (Vaala)",4,...,...,6,...
"91720  Oterma (Vaala)",0,0,0,0,0
"91730  Kankari (Vaala)",0,0,0,0,0
"91740  Jaalanka - Liminpuro (Vaala)",1,0,0,1,2
"91750  Liminpuro (Vaala)",...,...,...,...,...
"91760  Säräisniemi (Vaala)",7,5,6,3,6
"91780  Neittävä (Vaala)",2,1,1,1,1
"91790  Nuojua (Vaala)",3,3,3,3,3
"91800  Tyrnävä (Tyrnävä)",283,297,271,270,267
"91900  Liminka Keskus (Liminka)",424,429,426,429,409
"91910  Tupos (Liminka)",64,65,58,60,52
"91930  Ala-Temmes (Liminka)",7,6,7,5,6
"91950  Temmes (Tyrnävä)",52,48,50,43,44
"91980  Lumijoki (Lumijoki)",137,140,127,152,149
"92100  Raahe Keskus (Raahe)",1275,1262,1259,1260,1256
"92120  Ollinsaari - Mestauskallio (Raahe)",520,553,538,524,483
"92130  Isoholmi - Antinkangas (Raahe)",202,217,229,231,220
"92140  Pattijoki Keskus (Raahe)",394,427,407,411,406
"92150  Kummatti - Junnilanmäki (Raahe)",458,475,470,473,489
"92160  Saloinen (Raahe)",45,47,51,48,43
"92180  Lapaluoto (Raahe)",8,7,9,10,9
"92210  Arkkukari (Raahe)",5,8,3,4,1
"92220  Piehinki (Raahe)",7,7,8,6,5
"92230  Mattilanperä (Raahe)",1,1,1,1,1
"92240  Lasikangas (Raahe)",1,1,2,1,1
"92260  Kopsa (Raahe)",3,3,5,2,2
"92320  Siikajoki Keskus (Siikajoki)",60,66,56,46,39
"92330  Karinkanta (Siikajoki)",2,2,1,1,3
"92350  Revonlahti (Siikajoki)",50,57,59,58,57
"92400  Ruukki Keskus (Siikajoki)",163,171,151,153,155
"92430  Paavola - Huumola (Siikajoki)",69,67,68,60,52
"92440  Saarikoski (Siikajoki)",...,...,...,...,...
"92450  Luohua (Siikajoki)",7,11,12,12,8
"92470  Tuomioja (Siikajoki)",11,9,12,8,7
"92500  Rantsila Keskus (Siikalatva)",150,152,135,134,130
"92520  Sipola (Siikalatva)",4,3,4,3,3
"92530  Mankila (Siikalatva)",1,1,1,1,2
"92600  Pulkkila Keskus (Siikalatva)",126,129,117,120,114
"92610  Vorna (Siikalatva)",1,2,1,2,2
"92620  Piippola Keskus (Siikalatva)",96,91,96,83,85
"92640  Leskelä (Siikalatva)",3,3,4,3,4
"92650  Laakkola (Siikalatva)",14,9,11,9,11
"92700  Kestilä (Siikalatva)",90,86,86,89,82
"92810  Pelsonsuo (Vaala)",8,7,3,3,2
"92830  Veneheitto (Vaala)",3,6,5,1,2
"92910  Tavastkenkä (Pyhäntä)",10,6,6,8,11
"92920  Ahokylä (Pyhäntä)",0,0,0,0,0
"92930  Pyhäntä (Pyhäntä)",148,163,159,166,162
"93100  Pudasjärvi Keskus (Pudasjärvi)",814,841,846,849,802
"93140  Kipinä (Pudasjärvi)",8,4,8,8,10
"93160  Hetejärvi (Pudasjärvi)",5,5,4,7,5
"93170  Yli-Kollaja (Pudasjärvi)",1,1,2,1,0
"93180  Ikosenniemi (Pudasjärvi)",...,...,...,...,...
"93187  Ala-Siurua (Pudasjärvi)",4,3,3,3,2
"93190  Yli-Siurua - Ikosenniemi (Pudasjärvi)",2,1,2,2,1
"93195  Kokkokylä (Pudasjärvi)",...,...,...,...,...
"93220  Livo (Pudasjärvi)",3,2,2,2,3
"93225  Pärjänsuo (Pudasjärvi)",4,4,3,4,3
"93240  Rytinki (Pudasjärvi)",3,4,2,0,0
"93250  Sarajärvi (Pudasjärvi)",15,13,12,11,11
"93270  Sotkajärvi (Pudasjärvi)",11,9,6,5,5
"93277  Iinattijärvi (Pudasjärvi)",3,1,1,1,1
"93280  Syöte (Pudasjärvi)",25,24,25,18,26
"93290  Pintamo (Pudasjärvi)",2,2,2,2,2
"93350  Jaurakkajärvi (Pudasjärvi)",3,3,3,3,2
"93390  Puhoskylä (Pudasjärvi)",10,8,9,8,7
"93400  Taivalkoski Keskus (Taivalkoski)",395,404,392,388,395
"93420  Jurmu (Taivalkoski)",9,9,11,9,6
"93440  Loukusa (Taivalkoski)",0,0,1,0,...
"93470  Inget (Taivalkoski)",1,2,2,1,1
"93540  Tyrövaara (Taivalkoski)",9,9,10,9,7
"93590  Vanhala (Taivalkoski)",14,13,12,12,10
"93600  Kuusamo (Kuusamo)",1719,1783,1791,1777,1746
"93700  Kurkijärvi - Oijusluoma (Kuusamo)",24,25,25,26,24
"93800  Muojärvi (Kuusamo)",35,30,31,34,30
"93830  Rukatunturi (Kuusamo)",74,75,75,78,86
"93900  Oulangan kansallispuisto (Kuusamo)",31,33,35,28,30
"93999  Lososaari (Kuusamo)",0,0,0,0,0
"94100  Kemi Keskus (Kemi)",2246,2211,2144,2153,2244
